School,Early Decision 1,Application Fee,Early Decision 2,Regular Decision
akron,N/A,N/A,N/A,N/A
alabama,N/A,$40,N/A,N/A
albany,N/A,N/A,N/A,06/01
alberta,N/A,N/A,N/A,N/A
american,11/15,$70,N/A,01/31
appalachian,09/01,N/A,06/01,04/01
arizona,N/A,N/A,N/A,N/A
arkansas-fayetteville,N/A,N/A,N/A,N/A
arkansas,01/01,N/A,N/A,02/01
asu,11/15,$65,N/A,03/01
avemaria,12/15,N/A,N/A,04/15
baltimore,N/A,$50,N/A,N/A
barry,N/A,N/A,N/A,N/A
baylor,11/15,N/A,N/A,03/15
bc,N/A,$70,N/A,03/31
belmont,12/01,$50,N/A,07/31
berkeley,N/A,$75,N/A,N/A
brittishcolumbia,N/A,N/A,N/A,N/A
brooklyn,12/01,N/A,N/A,N/A
buffalo,11/15,$85,N/A,03/01
bu,12/01,$85,N/A,01/07
byu,N/A,$50,N/A,N/A
calgary,N/A,N/A,N/A,N/A
calwestern,N/A,N/A,N/A,07/01
campbell,11/15,N/A,12/01,12/01
capital,N/A,$40,N/A,N/A
cardozo,09/01,$50,N/A,04/01
casewestern,11/30,$40,N/A,04/01
catholic,12/01,N/A,N/A,N/A
chapman,11/30,$75,N/A,N/A
charleston,N/A,N/A,N/A,N/A
charlotte,N/A,$50,N/A,N/A
chicago-kent,12/15,N/A,N/A,04/01
chicago,N/A,$75,N/A,03/01
cincinnati,N/A,$35,N/A,N/A
clevelandstate,N/A,N/A,N/A,05/01
colorado,11/15,$65,N/A,03/15
columbia,11/15,$85,N/A,02/15
cooley,N/A,N/A,N/A,N/A
cornell,11/01,$80,01/08,02/01
creighton,N/A,N/A,N/A,N/A
cuny-queens,N/A,$60,N/A,N/A
dalhousie,N/A,N/A,N/A,N/A
davis,11/02,N/A,N/A,06/30
dayton,N/A,N/A,N/A,N/A
denver,11/01,$65,N/A,03/01
depaul,11/15,N/A,N/A,02/01
detroit-mercy,N/A,N/A,N/A,N/A
drake,N/A,N/A,N/A,N/A
drexel,11/01,N/A,N/A,01/15
duke,11/13,$70,01/08,02/15
duquesne,12/15,N/A,N/A,03/01
elon,12/01,N/A,N/A,04/15
emory,03/01,$85,N/A,N/A
famu,N/A,$33,N/A,03/31
fiu,N/A,$20,N/A,05/01
floridacoastal,N/A,N/A,N/A,N/A
florida,N/A,$30,N/A,N/A
fordham,11/08,$70,N/A,01/01
fsu,N/A,$30,N/A,05/15
georgia,11/01,$50,N/A,01/31
gmu,12/15,N/A,N/A,03/01
goldengate,N/A,$60,N/A,04/01
gonzaga,N/A,$50,N/A,04/15
gsu,N/A,$50,N/A,06/01
gulc,09/15,$85,N/A,03/01
gw,01/15,$80,N/A,03/01
hamline,N/A,N/A,N/A,N/A
