,College Name or Type,guess,name,big10,pac,sisters,hbcu
0,small private libera,,,,,,
1,texas a&m,,1,,,,
2,public,,,,,,
3,,,,,,,
4,ucla,,1,,,,
5,small liberal arts college,,,,,,
6,public state university,,,,,,
7,law,,,,,,
8,private,,,,,,
9,ucsd,,1,,,,
10,michigan state univeristy,,1,,,,
11,iowa state university,,1,,,,
12,private liberal arts,,,,,,
13,state university,,,,,,
14,technology,,,,,,
15,medium public,,,,,,
16,prestigious public,,,,,,
17,universtiy,,,,,,
18,business (b.s.b.a. degree),,,,,,
19,t1 liberal arts,,,,,,
20,large public,,,,,,
21,university/private,,,,,,
22,top liberal arts,,,,,,
23,ivy,1,1,,,,
24,small private,,,,,,
25,private/liberal arts,,,,,,
26,large public ivy,1,1,,,,
27,uc,,1,,,,
28,duke university,,1,,,,
29,top 5,1,1,,,,
30,"small, private liberal arts",,,,,,
31,uc berkeley,,1,,,,
32,sec,,,,,,
33,unc-chapel hill,,1,,,,
34,university of san francisco,,1,,,,
35,top private,,,,,,
36,top 15 liberal arts,1,1,,,,
37,university,,,,,,
38,lsu,,1,,,,
39,uc school,,1,,,,
40,missouri state university,,1,,,,
41,indiana university,,1,,,,
42,top public,,,,,,
43,top canadian,,,,,,
44,lac,,,,,,
45,top 50 public,1,1,,,,
46,university of california,,1,,,,
47,competitive public,,,,,,
48,liberal arts,,,,,,
49,pub.,,,,,,
50,texas tech,,1,,,,
51,private-pepperdine university,,1,,,,
52,ttt public,,,,,,
53,state public,,,,,,
54,liberal arts college,,,,,,
55,top 3,1,1,,,,
56,ball state,,1,,,,
57,uw-madison,,1,,,,
58,university of washington,,1,,,,
59,ca public,,,,,,
60,4th tier public,,,,,,
61,penn,,1,,,,
62,simon fraser university,,,,,,
63,top 20 public,1,1,,,,
64,small public,,,,,,
65,public university,,,,,,
66,south university,,,,,,
67,saint louis university,,1,,,,
68,university of texas,,1,,,,
69,university of south carolina,,1,,,,
70,top 25 public,1,1,,,,
71,state,,,,,,
72,state college,,,,,,
73,uiuc,,1,,,,
74,gwu elliott school,,1,,,,
75,top tier,,,,,,
76,private- catholic,,,,,,
77,ripon college,,1,,,,
78,top 10 private,1,1,,,,
79,top-10 lib arts,1,1,,,,
80,usc,,1,,,,
81,wesleyan,,1,,,,
82,u of arizona,,1,,,,
83,far above cayuga&#39,,,,,,
84,univ. of illinois,,1,,,,
85,cheyney university,,1,,,,
86,hpu,,1,,,,
87,top 40,1,1,,,,
88,public tier 1,,,,,,
89,boston college,,1,,,,
90,university of southern califor,,1,,,,
91,top twenty,1,1,,,,
92,top 20 lac,1,1,,,,
93,public - uc berkeley,,1,,,,
94,major,,,,,,
95,public t25,1,1,,,,
96,large private,,,,,,
97,top 30 university,1,1,,,,
98,hyp,,1,,,,
99,private- liberal arts,,,,,,
100,top 20,1,1,,,,
101,top 25,1,1,,,,
102,public top 30,1,1,,,,
103,top lac,,,,,,
104,"big ten, iu",,1,,,,
105,top 10 state school,1,1,,,,
106,top 20 university,1,1,,,,
107,top 25 ugrad,1,1,,,,
108,top 50 private,1,1,,,,
109,well-known private,,,,,,
110,ncat,,1,,,,
111,graduate student,,,,,,
112,university of iowa,,1,,,,
113,state university - honors,,,,,,
114,fiu,,1,,,,
115,columbia,,1,,,,
116,northwestern university,,1,,,,
117,university of nevada las vegas,,1,,,,
118,regional,,,,,,
119,university of idaho,,1,,,,
120,top 20 private,1,1,,,,
121,clarion university of pennsylv,,1,,,,
122,ivy league,1,1,,,,
123,public (top 25),1,1,,,,
124,arts and sciences,,,,,,
125,csu,,1,,,,
126,"university of california, davi",,1,,,,
