,Unnamed: 0,Unnamed: 0.1,College Name or Type,name_rev,name_rev1_flag,guess,name,big10,pac,sisters,hbcu,public_ivy,west_ivy,new_ivy,little_ivy,sec,flagship,index,cand_usnews,cand_usnews_short,cand_acronym,cand_flagship
0,0,0,small private libera,,,,,,,,,,,,,,,0,,,,
1,1,1,texas a&m,,1,,1,,,,,,,,,,,1,,,,
2,2,2,public,,,,,,,,,,,,,,,2,,,,
3,3,3,,,,,,,,,,,,,,,,3,,,,
4,4,4,ucla,,,,1,,,,,,,,,,,4,,,ucla,
5,5,5,small liberal arts college,,,,,,,,,,,,,,,5,,,,
6,6,6,public state university,,,,,,,,,,,,,,,6,,,,
7,7,7,law,,,,,,,,,,,,,,,7,,,,
8,8,8,private,,,,,,,,,,,,,,,8,,,,
9,9,9,ucsd,,,,1,,,,,,,,,,,9,,,ucsd,
10,10,10,michigan state univeristy,,,,1,,,,,,,,,,,10,michigan state university,,,
11,11,11,iowa state university,,,,1,,,,,,,,,,,11,iowa state university,,,
12,12,12,private liberal arts,,,,,,,,,,,,,,,12,,,,
13,13,13,state university,,,,,,,,,,,,,,,13,,,,
14,14,14,technology,,,,,,,,,,,,,,,14,,,,
15,15,15,medium public,,,,,,,,,,,,,,,15,,,,
16,16,16,prestigious public,,,,,,,,,,,,,,,16,,,,
17,17,17,universtiy,,,,,,,,,,,,,,,17,,,,
18,18,18,business (b.s.b.a. degree),,,,,,,,,,,,,,,18,,,,
19,19,19,t1 liberal arts,,,,,,,,,,,,,,,19,,,,
20,20,20,large public,,,,,,,,,,,,,,,20,,,,
21,21,21,university/private,,,,,,,,,,,,,,,21,,,,
22,22,22,top liberal arts,,,,,,,,,,,,,,,22,,,,
23,23,23,ivy,,,1,1,,,,,,,,,,,23,,,,
24,24,24,small private,,,,,,,,,,,,,,,24,,,,
25,25,25,private/liberal arts,,,,,,,,,,,,,,,25,,,,
26,26,26,large public ivy,,,1,1,,,,,,,,,,,26,,,,
27,27,27,uc,,,,1,,,,,,,,,,,27,,,uc,
28,28,28,duke university,,,,1,,,,,,,,,,,28,duke university,,,
29,29,29,top 5,,,1,1,,,,,,,,,,,29,,,,
30,30,30,"small, private liberal arts",,,,,,,,,,,,,,,30,,,,
31,31,31,uc berkeley,,,,1,,,,,,,,,,,31,,,uc berkeley,
32,32,32,sec,,,,,,,,,,,,,1,,32,,,,
33,33,33,unc-chapel hill,,,,1,,,,,,,,,,,33,,,chapel hill,
34,34,34,university of san francisco,,,,1,,,,,,,,,,,34,university of san francisco, of san francisco,,
35,35,35,top private,,,,,,,,,,,,,,,35,,,,
36,36,36,top 15 liberal arts,,,1,1,,,,,,,,,,,36,,,,
37,37,37,university,,,,,,,,,,,,,,,37,,,,
38,38,38,lsu,,,,1,,,,,,,,,,,38,,,lsu,
39,39,39,uc school,,1,,1,,,,,,,,,,,39,,,,
40,40,40,missouri state university,,,,1,,,,,,,,,,,40,missouri state university,,,
41,41,41,indiana university,,,,1,,,,,,,,,,,41,indiana university east,,,
42,42,42,top public,,,,,,,,,,,,,,,42,,,,
43,43,43,top canadian,,,,,,,,,,,,,,,43,,,,
44,44,44,lac,,,,,,,,,,,,,,,44,,,,
45,45,45,top 50 public,,,1,1,,,,,,,,,,,45,,,,
46,46,46,university of california,,1,,1,,,,,,,,,,,46,,,,
47,47,47,competitive public,,,,,,,,,,,,,,,47,,,,
48,48,48,liberal arts,,,,,,,,,,,,,,,48,,,,
49,49,49,pub.,,,,,,,,,,,,,,,49,,,,
50,50,50,texas tech,,,,1,,,,,,,,,,,50,,texas tech ,,
51,51,51,private-pepperdine university,,,,1,,,,,,,,,,,51,pepperdine university,,,
52,52,52,ttt public,,,,,,,,,,,,,,,52,,,,
53,53,53,state public,,,,,,,,,,,,,,,53,,,,
54,54,54,liberal arts college,,,,,,,,,,,,,,,54,,,,
55,55,55,top 3,,,1,1,,,,,,,,,,,55,,,,
56,56,56,ball state,,,,1,,,,,,,,,,,56,,ball state ,,
57,57,57,uw-madison,,,,1,,,,,,,,,,,57,,,madison,
58,58,58,university of washington,,,,1,,,,,,,,,,,58,university of washington, of washington,,
59,59,59,ca public,,,,,,,,,,,,,,,59,,,,
60,60,60,4th tier public,,,,,,,,,,,,,,,60,,,,
61,61,61,penn,,,,1,,,,,,,,,,,61,,,penn,
