College Name or Type,name_rev
#1 in the world-ucla,University of California Los Angeles
#8 public (ucsd),"University of California, San Diego"
(top private) wustl,Washington University st louis
2005 nat&#39;l champ,harvard University
3rd tier (ucf),University of Central Florida
a good music conservatory,university of central Florida
a good uc,University of California berkeley
a uc,University of California davis
a university of california,University of California davis
abac,foreign
acc,neutral
albany college of pharmacy and,Albany College of Pharmacy and Health Sciences
american indian college,Southwestern Assemblies of God University
american military university,american military university
amu,foreign
appstate,Appalachian State University
ave maria law school,neutral
baruch,cuny Baruch College
baruch cuny,cuny Baruch College
"bc, tu",boston college
behemoth,bad
berea college,berea college
berea college (private),berea college
berkeley college,berkeley college
berklee college of music,berklee college of music
best in the west,stanford university
big 10 - uw,university of wisconsin madison
big 10 (uofi),university of illinois urbana champaign
big state (cu),University of Colorado boulder
big ten (go badgers),university of wisconsin madison
"big ten, iu",Indiana University bloomington
"big ten, public, top 50",university of illinois urbana champaign
big-10,university of illinois urbana champaign
black ivy league lol,neutral
bloomsburg university,Bloomsburg University of Pennsylvania
brockport,college at brockport suny
brooklyn cuny,cuny brooklyn college
bss,neutral
bucknell (private li,Bucknell University
bucknell-bachelor of arts,Bucknell University
buffalo,university at buffalo suny
buffalo state college,university at buffalo suny
byu - idaho,Brigham Young University idaho
byu & uni of dallas,Brigham Young University provo
byu (private),Brigham Young University provo
byu / us navy,Brigham Young University provo
byuh,Brigham Young University hawaii
byu-i,Brigham Young University idaho
byu-idaho,Brigham Young University idaho
ca state school,California State University fullerton
ca state university,California State University fullerton
cal lutheran university,California Lutheran University
cal poly san luis ob,California Polytechnic State University  san luis obispo
cal poly san luis obispo,California Polytechnic State University  san luis obispo
cal state la,California State University los angeles
cali state school,California State University fullerton
california not cal,University of California davis
"california state univeristy, l",California State University long beach
california state university lo,California State University long beach
california state university no,California State University northridge
"california state university, l",California State University long beach
"california state university, n",California State University northridge
"california state university, s",California State University san bernardino
california state university: b,California State University bakersfield
california uc,University of California davis
carleton university,carleton university
castleton state college,Castleton University
catholic u,Catholic University of America
catholic university,Catholic University of America
city college of new york,cuny baruch college
city university of new york,cuny baruch college
clarion university,Clarion University of Pennsylvania
colorado state - global campus,Colorado State University
columbia southern university,columbia southern University
csu bakersfield,California State University bakersfield
csu dominguez hills,California State University dominguez hills
csu fresno,California State University fresno
csu fullerton,California State University fullerton
csu long beach,California State University long beach
csu san bernardino,California State University san bernardino
"csu, chico",California State University chico
csudh,California State University dominguez hills
csu-fresno,California State University fresno
csulb,California State University Long Beach
csun,California State University northridge
csus - local public,California State University san bernardino
cu boulder,University of Colorado boulder
cua,Catholic University of America
cu-boulder,University of Colorado boulder
cuny (john jay),Cuny john jay college of criminal justice
cuny baccalaureate for unique,cuny baruch College
cuny- nycct,cuny city College
cupl,foreign
cwu,Central Washington University
d1 state school in mi,Michigan State University
depauw c/o 2003,DePauw University
dowling,Dowling College
duke (private),Duke University
durham university,foreign
ecampus state school,bad
ecsu,Eastern Connecticut State University
eller college of management,University of Arizona
engineering school (utd),University of Texas at Dallas
engineering/atlanta ga,georgia institute of Technology
excelsio college,university at albany suny
excelsior,university at albany suny
excelsior college,university at albany suny
faber college,bad
federal academy,positive
federal service academy,positive
florida int'l university,Florida International University
florida public university,neutral
florida undergrad,neutral
fordham 1.5 yrs (recent) unite,Fordham University
franklin university,Franklin college
georgia regents university,Augusta University
go hokies,Virginia Tech
gonzaga/jesuit,Gonzaga University
good public (uc sant,University of California santa cruz
grace college,Grace College & Seminary
graduate school - fiu,Florida International University
gtown,Georgetown University
g-town,Georgetown University
gu,Georgetown University
gw undergrad,George Washington University
gwu elliott school,George Washington University
h/y/p,yale University
ham,Hampton University
"harvard (am), cornell-ilr (bs)",Harvard University
harvard extension school,Harvard University
harvard/yale/princeton,yale University
hbc,fort valley state university
hdkd;,neutral
historical black college (howa,Howard University
hoya,Georgetown University
hpu,Hawaii Pacific University
hpy,yale University
hpys,stanford university
hsslac,neutral
hunter,Cuny hunter college
hunter college,Cuny hunter college
hunter collge,Cuny hunter college
hws colleges,Hobart and William Smith Colleges
hyp,yale University
hyp  ivy,yale University
"hyp, to be square",yale University
hyps,stanford university
hypsm,stanford university
hys,stanford university
indiana,Indiana University bloomington
indiana university - indianapo,Indiana University purdue university indianapolis
indiana university of pa,Indiana University of pennsylvania
indiana university-n,Indiana University bloomington
indiana-purdue university fort,Indiana University purdue university fort wayne
inst. of technology,neutral
inter-american university of p,foreign
iowa,University of Iowa
isu/jmls,Illinois State University
iupui (top 200 national univ),Indiana University Purdue University Indianapolis
ivy (columbia),Columbia University
ivy (hyp),yale University
ivy (yale),Yale University
ivy engineering,University of Pennsylvania
ivy leage,University of Pennsylvania
ivy league (cornell),Cornell University
ivy league (hyp),yale University
ivy league (penn),University of Pennsylvania
ivy league (upenn),University of Pennsylvania
ivy league engineering,University of Pennsylvania
ivy public,university of north carolina chapel hill
ivy undergrad; b.a.,dartmouth college
"ivy, hyp",yale University
ivy-hyp,yale University
james madison college at michi,Michigan State University
jjay (cuny),Cuny john jay college of criminal justice
john jay,Cuny john jay college of criminal justice
john jay college,Cuny john jay college of criminal justice
kalefournia,University of California davis
kenyan university,foreign
lahore university of managemen,foreign
lame state u,bad
large - univ. of michigan,University of Michigan ann arbor
large private university (usf),University of San Francisco
large public - asu,Arizona State University tempe
large public - georgia,University of Georgia
large public - satel,neutral
large public - u of m,University of Michigan ann arbor
large public (fsu),Florida State University
large public (uc),University of California davis
large public (ucsc),University of California santa cruz
large public (ut),University of Texas austin
large public / u of memphis,University of Memphis
large public arizona state,Arizona State University tempe
large public ca,University of California davis
large public in california,University of California davis
"large public, suny",binghamton university suny
"large public, u of u",University of Utah
large public: vt :),virginia tech
large public-uc,University of California davis
large public-unc,University of North Carolina chapel hill
large state - csu,Colarado State University
large uc,University of California davis
"large, public (uw-ma",University of wisconsin madison
"large, public(umd-cp",University of Maryland college park
"large, public, texas",University of Texas austin
"large, public, uc",University of California davis
large/public/texas,University of Texas austin
lehigh u./engineering,Lehigh University
liberal arts - luthe,University of Regina
liberal arts (furman universit,Furman University
liberal arts (furman),Furman University
