,acronym,full,full_select
0,aecom,Albert Einstein College of Medicine,Albert Einstein College of Medicine
1,afa,United States Air Force Academy,United States Air Force Academy
2,annapolis,U.S. Naval Academy,U.S. Naval Academy
3,a&m,"Texas A&M University, but also others; see A&M",Texas A&M University
4,a&t,North Carolina A&T State University,North Carolina A&T State University
5,newport news,Apprentice School,Apprentice School
6,apsu,Austin Peay State University,Austin Peay State University
7,alasu,Alabama State University,Alabama State University
8,army,U.S. Military Academy,U.S. Military Academy
9,asu,"Alabama State University, Albany State University, Alcorn State University, Angelo State University, Appalachian State University, Arizona State University, Arkansas State University, Augusta State University, Armstrong State University",Arizona State University
10,au,"Adelphi University, Alfred University, American University, Anderson University, Asbury University, Auburn University, Ashford University, Arcadia University, AUGUSTA UNIVERSITY",Auburn University
11,aum,Auburn University Montgomery,Auburn University Montgomery
12,bama,University of Alabama,University of Alabama
13,bc,Boston College,Boston College
14,berkeley,"University of California, Berkeley","University of California, Berkeley"
15,bgsu,Bowling Green State University,Bowling Green State University
16,bhsu,Black Hills State University,Black Hills State University
17,bju,Bob Jones University,Bob Jones University
18,bmc,Bryn Mawr College,Bryn Mawr College
19,bona,St. Bonaventure University,St. Bonaventure University
20,brown,Brown University,Brown University
21,bsc,Birmingham-Southern College,Birmingham-Southern College
22,bsu,"Ball State University, Boise State University, Bemidji State University, Bowie State University",Ball State University
23,bu,"Baylor University, Belmont University, Binghamton University, Biola University, Boston University, Bradley University, Butler University",Boston University
24,byu,Brigham Young University,Brigham Young University
25,cbu,California Baptist University,California Baptist University
26,c of c,College of Charleston,College of Charleston
27,cal,"University of California, Berkeley","University of California, Berkeley"
28,cal poly,"California Polytechnic State University, San Luis Obispo","California Polytechnic State University, San Luis Obispo"
29,cal poly pomona,"California State Polytechnic University, Pomona","California State Polytechnic University, Pomona"
30,caltech,California Institute of Technology,California Institute of Technology
31,cal state,California State University (various campuses),California State University fullerton
32,capitol,Capitol College,Capitol College
33,carleton,Carleton College,Carleton College
34,carolina,"University of North Carolina at Chapel Hill, University of South Carolina",University of South Carolina
35,central,"Central State University, North Carolina Central University",Central State University
36,cc,Colorado College,Colorado College
37,ccny,City College of New York,City College of New York
38,ccsu,Central Connecticut State University,Central Connecticut State University
39,ccu,Coastal Carolina University,Coastal Carolina University
40,ccv,Community College of Vermont,Community College of Vermont
