,index_x,College Name or Type,State,City,id,5,State_acronym,enrollment,group,index_y,location,name,public,rank,tuition
0,1055,top 15 liberal arts,other,"sydney, aus",1056,,,,,,,,,,
1,1056,top 15 liberal arts,virginia,,1057,,,,,,,,,,
2,1057,top 15 liberal arts,colorado,denver,1058,,,,,,,,,,
3,1058,top 15 liberal arts,new york,new york,1059,,,,,,,,,,
4,1059,top 15 liberal arts,iowa,,1060,,,,,,,,,,
5,1060,top 15 liberal arts,alabama,geneva,1061,,,,,,,,,,
6,1061,top 15 liberal arts,virginia,,1062,,,,,,,,,,
7,1062,top 15 liberal arts,arizona,,1063,,,,,,,,,,
8,1063,top 15 liberal arts,kansas,,1064,,,,,,,,,,
9,1064,top 15 liberal arts,,,1065,,,,,,,,,,
10,1065,top 15 liberal arts,california,urban,1066,,,,,,,,,,
11,1066,top 15 liberal arts,,northeast,1067,,,,,,,,,,
12,1067,top 15 liberal arts,,,1068,,,,,,,,,,
13,1068,top 15 liberal arts,new jersey,suburban town,1069,,,,,,,,,,
14,1323,top 20 lac,,"northamton, ma",1324,,,,,,,,,,
15,1324,top 20 lac,,,1325,,,,,,,,,,
16,1325,top 20 lac,massachusetts,,1326,,,,,,,,,,
17,1326,top 20 lac,,,1327,,,,,,,,,,
18,2039,top 3 lac,,,2040,,,,,,,,,,
19,2040,top 3 lac,new york,,2041,,,,,,,,,,
20,2041,top 3 lac,alaska,,2042,,,,,,,,,,
21,2042,top 3 lac,,,2043,,,,,,,,,,
22,2043,top 3 lac,,,2044,,,,,,,,,,
23,2044,top 3 lac,oregon,portland,2045,,,,,,,,,,
25,2045,top 3 lac,new york,,2046,,,,,,,,,,
26,2504,hellacious (t10 public),georgia,atlanta,2505,,,,,,,,,,
27,2505,top 10 liberal arts,new york,new york,2506,,,,,,,,,,
28,2506,top 10 liberal arts,virginia,,2507,,,,,,,,,,
29,2507,top 10 liberal arts,illinois,chicago,2508,,,,,,,,,,
30,2508,top 10 liberal arts,,,2509,,,,,,,,,,
31,2509,top 10 liberal arts,,"washington, dc",2510,,,,,,,,,,
32,2510,top 10 liberal arts,,,2511,,,,,,,,,,
33,2511,top 10 liberal arts,washington - d.c.,,2512,,,,,,,,,,
34,2512,top 10 liberal arts,,,2513,,,,,,,,,,
35,2513,top 10 liberal arts,,,2514,,,,,,,,,,
36,2514,top 10 liberal arts,,,2515,,,,,,,,,,
37,2515,top 10 liberal arts,,,2516,,,,,,,,,,
38,2516,top 10 liberal arts,minnesota,,2517,,,,,,,,,,
39,2517,top 10 liberal arts,tennessee,nashville,2518,,,,,,,,,,
40,2518,top 10 liberal arts,california,los angeles,2519,,,,,,,,,,
41,2519,top 10 liberal arts,new york,new york,2520,,,,,,,,,,
42,2520,top 10 liberal arts,arizona,phoenix,2521,,,,,,,,,,
43,2521,top 10 liberal arts,florida,,2522,,,,,,,,,,
44,2522,top 10 liberal arts,new york,,2523,,,,,,,,,,
45,2523,top 10 liberal arts,,,2524,,,,,,,,,,
46,2524,top 10 liberal arts,california,,2525,,,,,,,,,,
47,2525,top 10 liberal arts,,,2526,,,,,,,,,,
48,2526,top 10 liberal arts,massachusetts,boston,2527,,,,,,,,,,
49,2527,top 10 liberal arts,california,long beach,2528,,,,,,,,,,
50,2528,top 10 liberal arts,california,,2529,,,,,,,,,,
51,2529,top 10 liberal arts,,,2530,,,,,,,,,,
52,2530,top 10 liberal arts,new hampshire,,2531,,,,,,,,,,
54,2531,top 10 liberal arts,california,claremont,2532,,ca,"1,347",national_lac,24,"Claremont, CA",claremont mckenna college,FALSE,8,"$52,825 "
58,2532,top 10 liberal arts,connecticut,middletown,2533,,ct,"2,971",national_lac,63,"Middletown, CT",wesleyan university,FALSE,21,"$52,474 "
59,2533,top 10 liberal arts,texas,,2534,,,,,,,,,,
60,2534,top 10 liberal arts,,,2535,,,,,,,,,,
61,2535,top 10 liberal arts,new york,,2536,,,,,,,,,,
62,2536,top 10 liberal arts,,,2537,,,,,,,,,,
63,2537,top 30 private/liberal arts,,,2538,,,,,,,,,,
64,2668,t-25 liberal arts,north carolina,,2669,,,,,,,,,,
65,2669,t-25 liberal arts,california,los angeles,2670,,ca,"2,062",national_lac,129,"Los Angeles, CA",occidental college,FALSE,44,"$52,838 "
66,2778,top 25 large liberal arts coll,michigan,,2779,,,,,,,,,,
67,2815,top 15 liberal arts college,massachusetts,,2816,,,,,,,,,,
68,2816,top 15 liberal arts college,,,2817,,,,,,,,,,
69,2817,top 10 small public liberal ar,virginia,,2818,,,,,,,,,,
70,2913,top 15 lac,new york,,2914,,,,,,,,,,
71,2914,top 15 lac,new york,crappy,2915,,,,,,,,,,
72,2915,top 15 lac,indiana,,2916,,,,,,,,,,
73,2916,top 15 lac,,,2917,,,,,,,,,,
74,2917,top 15 lac,virginia,,2918,,,,,,,,,,
75,2920,top 5 lac,,not ec,2921,,,,,,,,,,
76,2921,top 5 lac,illinois,chicago,2922,,,,,,,,,,
77,2924,top 40 liberal arts,,tn,2925,,,,,,,,,,
78,2925,top 40 liberal arts,illinois,chicago,2926,,,,,,,,,,
79,2953,top 50 lac,,,2954,,,,,,,,,,
