,index_x,College Name or Type,State,City_x,big10,sisters,pac,hbcu,public_ivy,west_ivy,little_ivy,sec,flagship,id,City_y,State_acronym,Unnamed: 0,Unnamed: 0.1,enrollment,group,index_y,location,name,public,rank,tuition,union
406,559,"#2 public, big 10",michigan,ann arbor,1,,,,,,,,,560,ann arbor,mi,2,27,"28,983",national,81,"Ann Arbor, MI",University of Michigan Ann Arbor,TRUE,28,"$47,476 (out-of-state), $14,826 (in-state)",big10
369,474,b10,texas,,1,,,,,,,,,475,,,,,,,,,,,,,
176,300,big 10,illinois,,1,,,,,,,,,301,champaign,il,7,52,"33,932",national,156,"Champaign, IL",University of Illinois Urbana Champaign,TRUE,52,"$31,988 (out-of-state), $15,868 (in-state)",big10
201,318,big 10,illinois,,1,,,,,,,,,319,champaign,il,7,52,"33,932",national,156,"Champaign, IL",University of Illinois Urbana Champaign,TRUE,52,"$31,988 (out-of-state), $15,868 (in-state)",big10
235,344,big 10,illinois,,1,,,,,,,,,345,champaign,il,7,52,"33,932",national,156,"Champaign, IL",University of Illinois Urbana Champaign,TRUE,52,"$31,988 (out-of-state), $15,868 (in-state)",big10
239,346,big 10,illinois,,1,,,,,,,,,347,champaign,il,7,52,"33,932",national,156,"Champaign, IL",University of Illinois Urbana Champaign,TRUE,52,"$31,988 (out-of-state), $15,868 (in-state)",big10
251,356,big 10,illinois,,1,,,,,,,,,357,champaign,il,7,52,"33,932",national,156,"Champaign, IL",University of Illinois Urbana Champaign,TRUE,52,"$31,988 (out-of-state), $15,868 (in-state)",big10
284,380,big 10,illinois,,1,,,,,,,,,381,champaign,il,7,52,"33,932",national,156,"Champaign, IL",University of Illinois Urbana Champaign,TRUE,52,"$31,988 (out-of-state), $15,868 (in-state)",big10
190,310,big 10,illinois,champaign,1,,,,,,,,,311,champaign,il,7,52,"33,932",national,156,"Champaign, IL",University of Illinois Urbana Champaign,TRUE,52,"$31,988 (out-of-state), $15,868 (in-state)",big10
188,309,big 10,illinois,champaign-urbana,1,,,,,,,,,310,champaign,il,7,52,"33,932",national,156,"Champaign, IL",University of Illinois Urbana Champaign,TRUE,52,"$31,988 (out-of-state), $15,868 (in-state)",big10
301,393,big 10,illinois,chi town,1,,,,,,,,,394,evanston,il,11,12,"8,353",national,36,"Evanston, IL",Northwestern University,FALSE,11,"$52,678 ",big10
206,321,big 10,illinois,chicago,1,,,,,,,,,322,evanston,il,11,12,"8,353",national,36,"Evanston, IL",Northwestern University,FALSE,11,"$52,678 ",big10
261,363,big 10,illinois,chicago,1,,,,,,,,,364,evanston,il,11,12,"8,353",national,36,"Evanston, IL",Northwestern University,FALSE,11,"$52,678 ",big10
268,367,big 10,illinois,chicago,1,,,,,,,,,368,evanston,il,11,12,"8,353",national,36,"Evanston, IL",Northwestern University,FALSE,11,"$52,678 ",big10
276,373,big 10,illinois,chicago,1,,,,,,,,,374,evanston,il,11,12,"8,353",national,36,"Evanston, IL",Northwestern University,FALSE,11,"$52,678 ",big10
278,374,big 10,illinois,chicago,1,,,,,,,,,375,evanston,il,11,12,"8,353",national,36,"Evanston, IL",Northwestern University,FALSE,11,"$52,678 ",big10
298,391,big 10,illinois,chicago,1,,,,,,,,,392,evanston,il,11,12,"8,353",national,36,"Evanston, IL",Northwestern University,FALSE,11,"$52,678 ",big10
