,index_x,College Name or Type,State,City,id,5,State_acronym,enrollment,group,index_y,location,name,public,rank,tuition
0,0,ivy,alabama,birmingham,1,,,,,,,,,,
1,1,ivy,alaska,,2,,,,,,,,,,
2,2,ivy,,,3,,,,,,,,,,
3,3,ivy,,ny,4,,,,,,,,,,
4,4,ivy,new york,,5,,,,,,,,,,
5,5,ivy,minnesota,,6,,,,,,,,,,
6,6,ivy,arizona,phoenix,7,,,,,,,,,,
7,7,ivy,,,8,,,,,,,,,,
8,8,ivy,,,9,,,,,,,,,,
9,9,ivy,california,suburban,10,,,,,,,,,,
10,10,ivy,,,11,,,,,,,,,,
11,11,ivy,,,12,,,,,,,,,,
12,12,ivy,,,13,,,,,,,,,,
13,13,ivy,,,14,,,,,,,,,,
14,14,ivy,new york,ithaca,15,,ny,"14,566",national_univ,42,"Ithaca, NY",cornell university,FALSE,14,"$52,853 "
15,15,ivy,california,,16,,,,,,,,,,
16,16,ivy,florida,,17,,,,,,,,,,
17,17,ivy,new york,ithaca,18,,ny,"14,566",national_univ,42,"Ithaca, NY",cornell university,FALSE,14,"$52,853 "
18,18,ivy,,,19,,,,,,,,,,
19,19,ivy,new york,,20,,,,,,,,,,
20,20,ivy,,,21,,,,,,,,,,
21,21,ivy,pennsylvania,,22,,,,,,,,,,
22,22,ivy,,,23,,,,,,,,,,
23,23,ivy,oregon,,24,,,,,,,,,,
24,24,ivy,washington - d.c.,washington,25,,,,,,,,,,
25,25,ivy,,,26,,,,,,,,,,
26,26,ivy,pennsylvania,,27,,,,,,,,,,
27,27,ivy,massachusetts,boston,28,,,,,,,,,,
29,28,ivy,florida,miami,29,,,,,,,,,,
30,29,ivy,,,30,,,,,,,,,,
31,30,ivy,pennsylvania,philadelphia,31,,pa,"10,019",national_univ,21,"Philadelphia, PA",university of pennsylvania,FALSE,8,"$53,534 "
33,31,ivy,,,32,,,,,,,,,,
34,32,ivy,,new york,33,,,,,,,,,,
35,33,ivy,new york,new york,34,,ny,"6,113",national_univ,12,"New York, NY",columbia university,FALSE,5,"$57,208 "
39,34,ivy,new york,,35,,,,,,,,,,
40,35,ivy,california,urban city,36,,,,,,,,,,
41,36,ivy,new york,,37,,,,,,,,,,
42,37,ivy,,west coast,38,,,,,,,,,,
43,38,ivy,new york,new york,39,,ny,"6,113",national_univ,12,"New York, NY",columbia university,FALSE,5,"$57,208 "
47,39,ivy,,,40,,,,,,,,,,
48,40,ivy,nevada,ny,41,,,,,,,,,,
49,41,ivy,alabama,,42,,,,,,,,,,
50,42,ivy,,,43,,,,,,,,,,
51,43,ivy,,,44,,,,,,,,,,
52,44,ivy,new york,,45,,,,,,,,,,
53,45,ivy,new york,,46,,,,,,,,,,
54,46,ivy,,,47,,,,,,,,,,
55,47,ivy,,,48,,,,,,,,,,
56,48,ivy,illinois,,49,,,,,,,,,,
57,49,ivy,alaska,,50,,,,,,,,,,
58,50,ivy,new jersey,,51,,,,,,,,,,
59,51,ivy,,,52,,,,,,,,,,
60,52,ivy,rhode island,,53,,,,,,,,,,
61,53,ivy,oklahoma,,54,,,,,,,,,,
