,College Name or Type,groups
0,small private libera,n
2,public,n
3,,
5,small liberal arts college,n
6,public state university,n
7,law,n
8,private,n
12,private liberal arts,n
13,state university,n
14,technology,n
15,medium public,n
16,prestigious public,e
17,universtiy,n
18,business (b.s.b.a. degree),n
19,t1 liberal arts,p
20,large public,n
21,university/private,n
22,top liberal arts,e
24,small private,n
25,private/liberal arts,n
30,"small, private liberal arts",n
35,top private,e
37,university,n
42,top public,e
44,lac,n
47,competitive public,p
48,liberal arts,n
49,pub.,n
52,ttt public,b
53,state public,n
54,liberal arts college,n
59,ca public,n
60,4th tier public,b
64,small public,n
65,public university,n
66,south university,n
71,state,n
72,state college,n
75,top tier,p
76,private- catholic,n
88,public tier 1,n
94,major,p
96,large private,n
99,private- liberal arts,n
103,top lac,e
109,well-known private,e
111,graduate student,n
113,state university - honors,n
118,regional,b
124,arts and sciences,n
131,unimpressive,b
137,undergraduate private,n
140,4 year university,n
148,state school,n
150,private - catholic,n
155,land grant research university,n
164,tiny liberal arts,n
165,catholic/small,n
166,private top 100,b
169,tier 1,p
170,small liberal arts,n
172,decent,p
175,lrg public,n
177,crappy public,b
178,prestegious,e
180,4 year,n
181,elite private,e
184,big state school,n
186,business,n
192,terrible,b
193,large public university,n
194,private nc college,n
196,big state,n
198,research university,n
199,low tier,b
206,large state school,n
208,undergraduate,n
213,medium-sized public,n
214,social and behavioral sciences,n
215,public city school,n
216,tier 2 private,n
217,public research university,n
222,,p
223,4-year university,n
230,small public liberal arts,n
233,aau university,p
236,liberal arts private,n
237,marquette university,
239,private - liberal ar,n
242,private liberal arts college,n
243,mid-size private,n
251,large public school,n
255,good,p
256,state u./top masters,n
260,private regional,b
263,national,n
264,"public, research",n
268,large public institution,n
269,mid level private sc,b
271,jesuit,n
274,impressive,p
280,biggest school everrrr,n
282,undergrad,n
283,non-top private,p
284,public liberal arts,n
287,a nyc ttt,n
289,top state,p
290,top regional,p
291,regional private,n
295,"large, private",n
298,la,n
301,"large public, state",n
302,sml. liberal arts,n
305,4-year,n
306,catholic/ private,n
308,large public tier 1,n
311,big state u,n
315,medium-sized public university,n
316,mid-western state university,n
319,distance learning,b
321,pvt liberal arts,n
323,none-sky,b
327,small private university,n
331,good school imho :),p
332,ttt,b
337,big city university,n
340,large public univers,n
343,ranked private midwest school,b
346,state school- well known,e
348,small regional university,n
355,-2001,
356,law school,n
359,small private - catholic,n
361,lg public,n
362,private assc./ public bba,n
364,not t-99,b
368,large top-tier public,p
369,strong public,p
371,large state,n
372,big public,n
374,"small university(8,000)",n
376,private christian liberal arts,n
378,engineering,n
380,medium state,n
381,small public university,n
382,"small, top liberal arts",e
390,graduate,n
399,top tier university,p
401,public (mediocre),b
402,st. bonaventure,
406,private university,n
408,liberty university,n
409,mix,n
411,top teir small priva,e
413,"public, large",n
420,semi-prestigious state,p
424,large private school,n
426,top n.e. private,e
427,college of liberal arts,n
428,prestigious,e
430,old,n
433,t2,n
439,medium sized pvt. la,n
443,top public university,e
445,grad school,n
447,small,n
453,nothing special,b
455,public - tier 1,p
457,huge,n
458,public-liberal arts,n
459,small and old,n
462,selective public,p
465,large state university,n
468,public college,n
470,"large,public",n
474,major public university,p
479,small university,n
483,pub,n
485,"large, lowly public",b
486,top private university,e
487,"private, lac",n
