,Major element,major guess,social sciences,arts & humanities,business & management,natural sciences,engineering,health professions,other
0,psych,psychology,1,,,,,,
1,women,gender studies,1,,,,,,
2,po,,,,,,,,
3,organizational leadership,management,,,1,,,,
4,public policy,policy studies,1,,,,,,
5,sport training,sports,,,,,,1,
6,management,business management,,,1,,,,
7,math,mathematics,,,,1,,,
8,politics,policy studies,1,,,,,,
9,pol,political science,1,,,,,,
10,sci,science,,,,1,,,
11,econ,economics,,,1,,,,
12,poli sci,political science,1,,,,,,
13,intl,international studies,1,,,,,,
14,st,,,,,,,,
15,,,,,,,,,
16,business,business,,,1,,,,
17,organizational ma,organizational management,,,1,,,,
18,mis,,,,,,,,
19,int,,,,,,,,
20,'l,,,,,,,,
21,japanese,Japanese,,1,,,,,
22,animal science,animal science,,,,1,,,
23,religious st,religion studies,,1,,,,,
24,engineering,engineering,,,,,1,,
25,b,,,,,,,,
26,g,,,,,,,,
27,s,,,,,,,,
28,international affair,international studies,1,,,,,,
29,science,science,,,,1,,,
30,corporate communication,corporate communication,,,1,,,,
31,spani,Spanish,,1,,,,,
32,busi,business,,,1,,,,
33,guitar performance,musical performance,,1,,,,,
34,law,law,1,,,,,,
35,aa studies,african american studies,1,,,,,,
36,int'l business,international business,,,1,,,,
37,prelaw,law,1,,,,,,
38,religion,religion studies,,1,,,,,
39,legal studies,law,1,,,,,,
40,international development stud,international development,1,,,,,,
41,speech comm,communications,,1,,,,,
42,theatre,theatre,,1,,,,,
43,internationa,international studies,1,,,,,,
44,international affairs,international studies,1,,,,,,
45,governmnet,government,1,,,,,,
46,ir,international relations,1,,,,,,
47,public health,public health,,,,,,1,
48,polisci,political science,1,,,,,,
49,justice admin,justice administration,1,,,,,,
50,humanities,humanities,,1,,,,,
51,latin,Latin,,1,,,,,
52,political,political science,1,,,,,,
53,communication studies,communications,,1,,,,,
54,peace,peace studies,1,,,,,,
55,justice studies,justice administration,1,,,,,,
56,golf course management,recreation management,,,1,,,,
57,lib arts,liberal arts,,1,,,,,
58,materials sci,materials science,,,,,1,,
59,eng,engineering,,,,,1,,
60,pols,policy studies,1,,,,,,
61,audiology,audiology,,1,,,,,
62,speech pathology,speech pathology,,1,,,,,
63,nanotechnology,engineering,,,,,1,,
64,business law,business law,,,1,,,,
65,mgmt,management,,,1,,,,
66,econ minor,economics,,,1,,,,
67,africana studies,African studies,1,,,,,,
68,social science,social science,1,,,,,,
69,bus,business,,,1,,,,
70,admin,administration,,,1,,,,
71,phil,philosophy,,1,,,,,
72,study,,,,,,,,
73,cultural studies,cultural studies,1,,,,,,
74,intl relations,international studies,1,,,,,,
75,asian studies,Asian studies,1,,,,,,
76,chinese,Chinese,,1,,,,,
77,christian st,Christian studies,1,,,,,,
78,astro,astronomy,,,,1,,,
79,majors,,,,,,,,
80,electrical,electrical engineering,,,,,1,,
81,computer engine,computer engineering,,,,,1,,
82,soc,sociology,1,,,,,,
83,psych double,psychology,1,,,,,,
84,middle eastern studies,middle eastern studies,1,,,,,,
85,sciences,science,,,,1,,,
86,construction management,construction management,,,1,,,,
87,crim,criminology,1,,,,,,
88,society,social science,1,,,,,,
89,me,mechanical engineering,,,,,1,,
90,biological sciences,biology,,,,1,,,
91,comp sci,computer science,,,,,1,,
92,sport management,recreation management,,,1,,,,
93,architecture,architecture,,,,,1,,
94,applied physics,applied physics,,,,1,,,
95,meteorology,meteorology,,,,1,,,
96,pre,,,,,,,,
97,law concentration,law,1,,,,,,
98,other,,,,,,,,
99,photography,photography,,1,,,,,
100,broadcasting,broadcasting,,1,,,,,
101,social studies,social science,1,,,,,,
102,justice,justice administration,1,,,,,,
103,socio,sociology,1,,,,,,
104,liberal studies,liberal arts,,1,,,,,
105,ethnic studies,social science,1,,,,,,
106,communication studie,communications,,1,,,,,
107,poli sci doub,political science,1,,,,,,
108,politic,political science,1,,,,,,
109,geology,geology,,,,1,,,
110,biochem,biochemistry,,,,1,,,
111,poli,policy studies,1,,,,,,
112,italian,Italian,,1,,,,,
113,master,,,,,,,,
114,'s public administratio,public administration,1,,,,,,
115,molecular biology,molecular biology,,,,1,,,
116,government,political science,1,,,,,,
117,classical studies,classical studies,,1,,,,,
118,posc,political science,1,,,,,,
119,polit science,political science,1,,,,,,
120,enviro studies,environmental studies,,,,1,,,
121,broadcast journalism,broadcasting,,1,,,,,
122,env,environmental studies,,,,1,,,
123,criminal j,criminology,1,,,,,,
124,cj,criminology,1,,,,,,
125,plsc,political science,1,,,,,,
126,foreign affairs,international studies,1,,,,,,
127,middle eas,middle eastern studies,1,,,,,,
128,women's gender,gender studies,1,,,,,,
129,sexuality s,gender studies,1,,,,,,
130,public management,management,1,,,,,,
131,policy,policy studies,1,,,,,,
132,religious studies,religion studies,,1,,,,,
133,philosop,philosophy,,1,,,,,
134,social sciences,social science,1,,,,,,
135,business economics,economics,,,1,,,,
136,polit,political science,1,,,,,,
137,forensic anthropology,anthropology ,1,,,,,,
138,secondary,secondary education,1,,,,,,
139,professional writing,communications,,1,,,,,
140,print journalism,journalism,,1,,,,,
141,eco,economics,,,1,,,,
142,risk management,risk management,,,1,,,,
143,insurance,insurance management,,,1,,,,
144,english rhetoric,English,,1,,,,,
145,design,design,,1,,,,,
146,govt,political science,1,,,,,,
147,biological science,biology,,,,1,,,
148,technology,,,,,,1,,
149,socie,social science,1,,,,,,
150,natural sciences,natural science,,,,1,,,
151,health science,health science,,,,,,1,
152,writing,communications,,1,,,,,
153,cs,computer science,,,,,1,,
154,bio,biology,,,,1,,,
155,chem,chemistry,,,,1,,,
156,psych minor,psychology,1,,,,,,
157,double engineering,engineering,,,,,1,,
158,sports management,business management,,,1,,,,
159,personal finance,finance,,,1,,,,
160,french l,French,,1,,,,,
161,crim justice,criminology,1,,,,,,
162,political economy,Political Economics,1,,,,,,
163,comp,computer science,,,,,1,,
164,comm,communications,1,,,,,,
165,hard,,,,,,,,
166,poilisci,political science,1,,,,,,
167,systems engineering,systems engineering,,,,,1,,
168,m,,,,,,,,
169,i,,,,,,,,
170,economics minor accounting,economics,,,1,,,,
171,pol sci,political science,1,,,,,,
172,political s,political science,1,,,,,,
173,political phil,Political Philosophy,,1,,,,,
174,hisotry,history,1,,,,,,
175,biz,business,,,1,,,,
176,construction systems managemen,construction management,,,1,,,,
177,public admin,public administration,,,,,,,
178,captain,,,,,,,,
179,act,accounting,,,1,,,,
180,international development,international studies,,,,,,,
181,ba in international,international studies,,,,,,,
182,pol science,political science,,,,,,,
183,poly sci,political science,,,,,,,
184,environmental studies,environmental studies,,,,1,,,
185,urban planning,urban planning,,,,,,,
186,doubled,,,,,,,,
187,communicati,communications,1,,,,,,
188,e,,,,,,,,
189,interdisciplinary st,interdisciplinary studies,,,,,,,
190,paralegal studies,paralegal studies,,,,,,,
191,dual,,,,,,,,
192,science or eng,science,,,,1,,,
193,biology  philosophy,biology,,,,1,,,
194,religio,religion studies,1,,,,,,
195,fr,French,1,,,,,,
196,rel,religion studies,1,,,,,,
197,stud,,,,,,,,
198,a,,,,,,,,
199,general business,business,,,1,,,,
200,politica,political science,,,,,,,
201,arts,art,1,,,,,,
202,applied sciences,applied science,,,,1,,,
203,iaff,,,,,,,,
204,policy analysis,policy studies,,,,,,,
205,american government,political science,,,,,,,
206,industrial,industrial engineering,,,,,1,,
207,operations engi,operation engineering,,,,,1,,
208,not science,,,,,,,,
209,yes,,,,,,,,
210,las,liberal arts,1,,,,,,
211,telecommunications,communications,1,,,,,,
212,building science,industrial engineering,,,,,1,,
213,double major,,,,,,,,
214,honors,,,,,,,,
215,business admin,business administration,,,1,,,,
216,sociolinguistics,linguistics,1,,,,,,
217,l relations,labor relations,,,,,,,
218,sociology law,sociology,,,,,,,
219,world affairs,international studies,,,,,,,
220,minor in,,,,,,,,
221,assc,,,,,,,,
222,of engineering,engineering,,,,,1,,
223,bba,business administration,,,1,,,,
224,media studies,media studies,1,,,,,,
225,music industry,music ,1,,,,,,
226,premed,pre medicine,,,,,,1,
227,h,,,,,,,,
228,gov,political science,,,,,,,
229,music business,music business,,,1,,,,
230,cis,computer science,,,,,1,,
231,classical civilization,classical civilization,1,,,,,,
232,liberal art degree,liberal arts,1,,,,,,
233,aviation,aviation,,,,,1,,
234,internatinoal affairs,international studies,,,,,,,
235,philosophy politics economics,PPE,,,,,,,
236,film,film,1,,,,,,
237,cognitive science,cognitive science,,,,1,,,
238,bs,,,,,,,,
239,acctg,accounting,,,1,,,,
240,ms,,,,,,,,
241,tax,accounting,,,1,,,,
242,communications studies,communications,1,,,,,,
243,applied psychology,psychology,,,,,,,
244,drama,drama,1,,,,,,
245,communication arts,communications,1,,,,,,
246,psch,psychology,,,,,,,
247,'l aff,international studies,,,,,,,
248,entertainment,entertainment,,,,,,,
249,american studies,American studies,,,,,,,
250,language,language,1,,,,,,
251,political sci,political science,,,,,,,
252,school of public health,public health,,,,,,1,
253,medical humanities,medical humanities,,,,,,1,
254,mass communications,communications,1,,,,,,
255,mass communication,communications,1,,,,,,
256,sociology of science,sociology,,,,,,,
257,hist,history,1,,,,,,
258,lacs,,,,,,,,
259,global studies,international studies,,,,,,,
260,pol s,political science,,,,,,,
261,payne,,,,,,,,
262,public service,public policy,,,,,,,
263,rhetoric,rhetoric,1,,,,,,
264,public relations,public relations,,,,,,,
265,labor studies,labor studies,,,,,,,
266,consulting,consulting,,,1,,,,
267,applied behavioral science,behavioral science,,,,,,,
268,economi,economics,,,1,,,,
269,international politics,International Politics,,,,,,,
270,business manage,business management,,,1,,,,
271,secondary ed,secondary education,,,,,,,
272,med,medicine,,,,,,1,
273,history mi,history,1,,,,,,
274,intl affairs,international studies,,,,,,,
275,engr,engineering,,,,,1,,
276,business finance,finance,,,1,,,,
277,bus mgmt,business management,,,1,,,,
278,minor in cr,criminology,,,,,,,
279,international political econom,Political Economics,,,,,,,
280,english lit,English literature,1,,,,,,
281,public law,law,,,,,,,
282,gover,political science,,,,,,,
283,studio production,studio production,1,,,,,,
284,psyc,psychology,,,,,,,
285,int'l studie,international studies,,,,,,,
286,f,,,,,,,,
287,mu,music ,1,,,,,,
288,political sc,political science,,,,,,,
289,political studies,policy studies,,,,,,,
290,ph,philosophy,1,,,,,,
291,ele,,,,,,,,
292,national,,,,,,,,
293,univ,,,,,,,,
294,jus,,,,,,,,
295,literatu,literature,1,,,,,,
296,bme,biomedical engineering,,,,,1,,
297,ee,electronic engineering,,,,,1,,
298,justice stu,criminology,,,,,,,
299,global business,international business,,,1,,,,
300,double,,,,,,,,
301,theatre arts,theatre,1,,,,,,
302,comparative lit,literature,1,,,,,,
303,male,,,,,,,,
304,modern jewish studies,Jewish studies,,,,,,,
305,music performance,music ,1,,,,,,
306,neuroscience,neuroscience,,,,1,,,
307,creative writing,creative writing,1,,,,,,
308,psc,political science,,,,,,,
309,legal studie,law,,,,,,,
310,labor r,labor relations,,,,,,,
311,poly,policy studies,,,,,,,
312,capp,,,,,,,,
313,'l studies,international studies,,,,,,,
314,hibd political econo,Political Economics,,,,,,,
315,sociology minor,sociology,,,,,,,
316,gender,gender studies,,,,,,,
317,women's,gender studies,,,,,,,
318,business adm,business administration,,,1,,,,
319,afro,,,,,,,,
320,ame,audio and musical engineering,,,,,1,,
321,philo,philosophy,1,,,,,,
322,criminol,criminology,,,,,,,
323,it,information technology,,,,,1,,
324,music education,music,1,,,,,,
325,graphic design,graphic design,1,,,,,,
326,foreign service,international studies,,,,,,,
327,business mgt,business management,,,1,,,,
328,parale,paralegal studies,,,,,,,
329,goverment,government,,,,,,,
330,ets,,,,,,,,
331,general studies,general studies,1,,,,,,
332,sp,Spanish,1,,,,,,
333,pysch,psychology,,,,,,,
334,english literature,English literature,1,,,,,,
335,counseling psychology,psychology,,,,,,,
336,double majored in social scien,social science,,,,,,,
337,studies,,,,,,,,
338,visual arts,visual arts,1,,,,,,
339,general sci,science,,,,1,,,
340,construction,construction,,,,,1,,
341,trust management,management,,,1,,,,
342,sport administration,sports management,,,1,,,,
343,double econ,economics,,,1,,,,
344,hi,,,,,,,,
345,asian stud,Asian studies,,,,,,,
346,history minor,history,1,,,,,,
347,chemical,chemical engineering,,,,,1,,
348,glass art,art,1,,,,,,
349,bfa,fine arts,1,,,,,,
350,commun,communications,1,,,,,,
351,ps,political science,,,,,,,
352,computer,computer science,,,,,1,,
353,lsj,"law, societies and justice",,,,,,,
354,psci,political science,,,,,,,
355,american history,American history,1,,,,,,
356,education pol,education policy,,,,,,,
357,biomedical engineering,biomedical engineering,,,,,1,,
358,la,,,,,,,,
359,urban studies,urban studies,,,,,,,
360,public m,public management,,,,,,,
361,political theory,political theory,,,,,,,
362,bs in commerce,commerce,,,1,,,,
363,arts management,arts management,,,1,,,,
364,master of accounting,accounting,,,1,,,,
365,health promotion,health studies,,,,,,1,
366,nonpro,nonprofit ,,,1,,,,
367,forensic psychology,psychology,,,,,,,
368,structural engineer,structural engineer,,,,,1,,
369,legal history,legal history,,,,,,,
370,org,,,,,,,,
371,communica,communications,1,,,,,,
372,kinesiology,kinesiology,,,,,,1,
373,english govt,English,1,,,,,,
374,public accounting,accounting,,,1,,,,
375,c,,,,,,,,
376,techno,technology,,,,,1,,
377,east asian studies,east Asian studies,,,,,,,
378,human biology,biology,,,,1,,,
379,comparative literatur,comparative literature,1,,,,,,
380,conflict st,conflict studies,,,,,,,
381,management science,management,,,1,,,,
382,mech engineering,mechanical engineering,,,,,1,,
383,neurobiology,biology,,,,1,,,
384,physionology,physiology,,,,,,1,
385,business honors,business,,,1,,,,
386,humanties,humanities,1,,,,,,
387,self,,,,,,,,
388,culture,culture studies,,,,,,,
389,social sciences govt,social science,,,,,,,
390,urban plannin,urban studies,,,,,,,
391,middle east studies,middle eastern studies,,,,,,,
392,social welfare,social science,,,,,,,
393,phi,philosophy,1,,,,,,
394,test,,,,,,,,
395,mgmnt,management,,,1,,,,
396,bs math,math,,,,1,,,
397,cs concentration,computer science,,,,,1,,
398,earth sciences,earth science,,,,1,,,
399,int studies,international studies,,,,,,,
400,mba,business administration,,,1,,,,
401,dual english,English,1,,,,,,
402,league baseball,,,,,,,,
403,administratin of justice,justice administration,,,,,,,
404,letters,,,,,,,,
405,individualized,,,,,,,,
406,anthro,anthropology ,,,,,,,
407,econo,economics,,,1,,,,
408,const,construction,,,,,1,,
409,humanities double,humanities,1,,,,,,
410,mass comm,communications,1,,,,,,
411,business a,business administration,,,1,,,,
412,arabic,Arabic,1,,,,,,
413,strategi,strategic planning,,,1,,,,
414,pl sc,political science,,,,,,,
415,sport mana,sports management,,,1,,,,
416,fin,finance,,,1,,,,
417,physiology,physiology,,,,,,1,
418,neurobi,biology,,,,1,,,
419,mech engr,mechanical engineering,,,,,1,,
420,gov major german min,government,,,,,,,
421,information systems,information technology,,,,,1,,
422,in las,liberal arts,1,,,,,,
423,human resource management,human resource management,,,1,,,,
424,childhood studies,childhood studies,,,,,,,
425,ba,business administration,,,1,,,,
426,world business,international business,,,1,,,,
427,computer sci,computer science,,,,,1,,
428,his,history,1,,,,,,
429,partying,,,,,,,,
430,polsci,political science,,,,,,,
431,ursa,,,,,,,,
432,'l politics,International Politics,,,,,,,
433,english writing,English,1,,,,,,
434,mana,management,,,1,,,,
435,human resources,human resource  ,,,1,,,,
436,romance languages,language,1,,,,,,
437,languages,language,1,,,,,,
438,community health education,health education,,,,,,1,
439,criminal jus,criminology,,,,,,,
440,minor in asian amer,Asian American studies,,,,,,,
441,english  minor,English,1,,,,,,
442,internati,international studies,,,,,,,
443,aerospace engineering,aerospace engineering,,,,,1,,
444,international developement,international studies,,,,,,,
445,triple,,,,,,,,
446,eng lit,English literature,1,,,,,,
447,food science,food science,,,,,,1,
448,'s s,,,,,,,,
449,mech,mechanical engineering,,,,,1,,
450,materials engineering,materials engineering,,,,,1,,
451,legal assistant studies,legal assistant studies,,,,,,,
452,theater,theatre,1,,,,,,
