Massachusetts Institute of Technology,"$49,892 ","4,524",4.9,,
"Cambridge, MA",,,,,
 #1 in Engineering Programs (doctorate),,,,,
Stanford University,"$49,617 ","7,034",4.8,,
"Stanford, CA",,,,,
 #2 in Engineering Programs (doctorate),,,,,
University of California--Berkeley,"$42,112 (out-of-state), $14,098 (in-state)","29,311",4.7,,
"Berkeley, CA",,,,,
 #3 in Engineering Programs (doctorate),,,,,
California Institute of Technology,"$49,908 ",979,4.6,,
"Pasadena, CA",,,,,
 #4 in Engineering Programs (doctorate) (tie),,,,,
Georgia Institute of Technology,"$33,014 (out-of-state), $12,418 (in-state)","15,489",4.6,,
"Atlanta, GA",,,,,
 #4 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Illinois--Urbana-Champaign,"$31,988 (out-of-state), $15,868 (in-state)","33,932",4.4,,
"Champaign, IL",,,,,
 #6 in Engineering Programs (doctorate) (tie),,,,,
University of Michigan--Ann Arbor,"$47,476 (out-of-state), $14,826 (in-state)","28,983",4.4,,
"Ann Arbor, MI",,,,,
 #6 in Engineering Programs (doctorate) (tie),,,,,
Carnegie Mellon University,"$53,910 ","6,673",4.3,,
"Pittsburgh, PA",,,,,
 #8 in Engineering Programs (doctorate) (tie),,,,,
Purdue University--West Lafayette,"$28,804 (out-of-state), $10,002 (in-state)","30,043",4.3,,
"West Lafayette, IN",,,,,
 #8 in Engineering Programs (doctorate) (tie),,,,,
Cornell University,"$52,853 ","14,566",4.2,,
"Ithaca, NY",,,,,
 #10 in Engineering Programs (doctorate),,,,,
,,,,,
Princeton University,"$47,140 ","5,400",4.1,,
"Princeton, NJ",,,,,
 #11 in Engineering Programs (doctorate) (tie),,,,,
University of Texas--Austin,"$35,766 (out-of-state), $10,136 (in-state)","40,168",4.1,,
"Austin, TX",,,,,
 #11 in Engineering Programs (doctorate) (tie),,,,,
Northwestern University,"$52,678 ","8,353",4,,
"Evanston, IL",,,,,
 #13 in Engineering Programs (doctorate),,,,,
Johns Hopkins University,"$52,170 ","6,117",3.9,,
"Baltimore, MD",,,,,
 #14 in Engineering Programs (doctorate) (tie),,,,,
Texas A&M University--College Station,"$30,208 (out-of-state), $10,030 (in-state)","50,735",3.9,,
"College Station, TX",,,,,
 #14 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Wisconsin--Madison,"$34,782 (out-of-state), $10,533 (in-state)","31,710",3.9,,
