Harvey Mudd College,"$54,886 ",829,4.5,,
"Claremont, CA",,,,,
 #1 in Engineering Programs (no doctorate) (tie),,,,,
Rose-Hulman Institute of Technology,"$45,747 ","2,202",4.5,,
"Terre Haute, IN",,,,,
 #1 in Engineering Programs (no doctorate) (tie),,,,,
Franklin W. Olin College of Engineering,"$49,280 ",378,4.3,,
"Needham, MA",,,,,
 #3 in Engineering Programs (no doctorate),,,,,
United States Military Academy,"N/A (out-of-state), N/A (in-state)","4,389",4.2,,
"West Point, NY",,,,,
 #4 in Engineering Programs (no doctorate),,,,,
United States Air Force Academy,"N/A (out-of-state), N/A (in-state)","4,237",4.1,,
"USAF Academy, CO",,,,,
 #5 in Engineering Programs (no doctorate) (tie),,,,,
,,,,,
United States Naval Academy,"N/A (out-of-state), N/A (in-state)","4,526",4.1,,
"Annapolis, MD",,,,,
 #5 in Engineering Programs (no doctorate) (tie),,,,,
Bucknell University,"$53,986 ","3,571",4,,
"Lewisburg, PA",,,,,
 #7 in Engineering Programs (no doctorate) (tie),,,,,
California Polytechnic State University--San Luis Obispo,"$21,312 (out-of-state), $9,432 (in-state)","20,426",4,,
"San Luis Obispo, CA",,,,,
 #7 in Engineering Programs (no doctorate) (tie),,,,,
Cooper Union,"$43,850 ",876,3.8,,
"New York, NY",,,,,
 #9 in Engineering Programs (no doctorate),,,,,
Milwaukee School of Engineering,"$39,429 ","2,675",3.6,,
"Milwaukee, WI",,,,,
 #10 in Engineering Programs (no doctorate) (tie),,,,,
,,,,,
United States Coast Guard Academy,"N/A (out-of-state), N/A (in-state)",988,3.6,,
"New London, CT",,,,,
 #10 in Engineering Programs (no doctorate) (tie),,,,,
Lafayette College,"$50,850 ","2,550",3.5,,
"Easton, PA",,,,,
 #12 in Engineering Programs (no doctorate) (tie),,,,,
University of San Diego,"$47,708 ","5,711",3.5,,
"San Diego, CA",,,,,
 #12 in Engineering Programs (no doctorate) (tie),,,,,
California State Polytechnic University--Pomona,"$19,177 (out-of-state), $7,297 (in-state)","23,733",3.4,,
"Pomona, CA",,,,,
 #14 in Engineering Programs (no doctorate) (tie),,,,,
Embry-Riddle Aeronautical University--Prescott,"$34,662 ","2,377",3.4,,
"Prescott, AZ",,,,,
 #14 in Engineering Programs (no doctorate) (tie),,,,,
,,,,,
Kettering University,"$39,790 ","1,905",3.4,,
"Flint, MI",,,,,
 #14 in Engineering Programs (no doctorate) (tie),,,,,
Smith College,"$50,044 ","2,514",3.4,,
"Northampton, MA",,,,,
 #14 in Engineering Programs (no doctorate) (tie),,,,,
Valparaiso University,"$38,760 ","3,294",3.4,,
"Valparaiso, IN",,,,,
