Spelman College,"$28,181 ","2,125",,
"Atlanta, GA",,,,
 #1 in Historically Black Colleges and Universities,,,,
Howard University,"$25,697 ","5,899",,
"Washington, DC",,,,
 #2 in Historically Black Colleges and Universities,,,,
Hampton University,"$25,442 ","3,836",,
"Hampton, VA",,,,
 #3 in Historically Black Colleges and Universities,,,,
Morehouse College,"$27,278 ","2,108",,
"Atlanta, GA",,,,
 #4 in Historically Black Colleges and Universities,,,,
Xavier University of Louisiana,"$23,606 ","2,327",,
"New Orleans, LA",,,,
 #5 in Historically Black Colleges and Universities,,,,
,,,,
Florida A&M University,"$17,725 (out-of-state), $5,785 (in-state)","7,769",,
"Tallahassee, FL",,,,
 #6 in Historically Black Colleges and Universities(tie),,,,
Tuskegee University 1,"$22,235 ",N/A,,
"Tuskegee, AL",,,,
 #6 in Historically Black Colleges and Universities(tie),,,,
North Carolina A&T State University,"$19,416 (out-of-state), $6,526 (in-state)","9,668",,
"Greensboro, NC",,,,
 #8 in Historically Black Colleges and Universities,,,,
Claflin University,"$16,098 ","1,905",,
"Orangeburg, SC",,,,
 #9 in Historically Black Colleges and Universities(tie),,,,
Fisk University,"$21,480 ",723,,
"Nashville, TN",,,,
 #9 in Historically Black Colleges and Universities(tie),,,,
,,,,
Dillard University,"$18,711 ","1,261",,
"New Orleans, LA",,,,
 #11 in Historically Black Colleges and Universities,,,,
Tougaloo College,"$10,600 ",843,,
"Tougaloo, MS",,,,
 #12 in Historically Black Colleges and Universities,,,,
Delaware State University,"$16,904 (out-of-state), $7,868 (in-state)","3,993",,
"Dover, DE",,,,
 #13 in Historically Black Colleges and Universities(tie),,,,
North Carolina Central University,"$18,340 (out-of-state), $5,882 (in-state)","6,285",,
"Durham, NC",,,,
 #13 in Historically Black Colleges and Universities(tie),,,,
Jackson State University,"$17,614 (out-of-state), $7,261 (in-state)","7,492",,
"Jackson, MS",,,,
 #15 in Historically Black Colleges and Universities,,,,
,,,,
Clark Atlanta University,"$23,082 ","3,093",,
"Atlanta, GA",,,,
 #16 in Historically Black Colleges and Universities(tie),,,,
Morgan State University,"$17,833 (out-of-state), $7,767 (in-state)","6,362",,
"Baltimore, MD",,,,
 #16 in Historically Black Colleges and Universities(tie),,,,
Johnson C. Smith University,"$18,236 ","1,326",,
"Charlotte, NC",,,,
 #18 in Historically Black Colleges and Universities,,,,
Alcorn State University,"$6,888 (out-of-state), $6,888 (in-state)","2,825",,
"Lorman, MS",,,,
 #19 in Historically Black Colleges and Universities,,,,
University of Maryland--Eastern Shore,"$18,048 (out-of-state), $8,042 (in-state)","3,278",,
"Princess Anne, MD",,,,
 #20 in Historically Black Colleges and Universities,,,,
,,,,
Alabama Agricultural and Mechanical University,"$17,496 (out-of-state), $9,366 (in-state)","4,851",,
"Normal, AL",,,,
 #21 in Historically Black Colleges and Universities,,,,
Bowie State University,"$18,653 (out-of-state), $8,064 (in-state)","4,711",,
"Bowie, MD",,,,
 #22 in Historically Black Colleges and Universities,,,,
Fayetteville State University,"$17,192 (out-of-state), $5,584 (in-state)","5,540",,
"Fayetteville, NC",,,,
 #23 in Historically Black Colleges and Universities(tie),,,,
Lincoln University,"$16,389 (out-of-state), $11,379 (in-state)","1,824",,
"Lincoln University, PA",,,,
 #23 in Historically Black Colleges and Universities(tie),,,,
Bethune-Cookman University,"$14,410 ","3,796",,
"Daytona Beach, FL",,,,
 #25 in Historically Black Colleges and Universities(tie),,,,
,,,,
Prairie View A&M University,"$10,059 (out-of-state), $10,059 (in-state)","7,455",,
"Prairie View, TX",,,,
 #25 in Historically Black Colleges and Universities(tie),,,,
Albany State University,"$19,802 (out-of-state), $6,726 (in-state)","2,594",,
"Albany, GA",,,,
 #27 in Historically Black Colleges and Universities(tie),,,,
Bennett College,"$18,513 ",474,,
"Greensboro, NC",,,,
 #27 in Historically Black Colleges and Universities(tie),,,,
Norfolk State University,"$20,478 (out-of-state), $9,036 (in-state)","4,739",,
"Norfolk, VA",,,,
 #27 in Historically Black Colleges and Universities(tie),,,,
Winston-Salem State University 1,"$15,915 (out-of-state), $5,804 (in-state)",N/A,,
"Winston-Salem, NC",,,,
 #27 in Historically Black Colleges and Universities(tie),,,,
,,,,
Elizabeth City State University,"$18,610 (out-of-state), $5,466 (in-state)","1,310",,
"Elizabeth City, NC",,,,
 #31 in Historically Black Colleges and Universities(tie),,,,
Philander Smith College,"$12,414 ",765,,
"Little Rock, AR",,,,
 #31 in Historically Black Colleges and Universities(tie),,,,
Virginia State University,"$18,841 (out-of-state), $8,726 (in-state)","4,165",,
"Petersburg, VA",,,,
 #31 in Historically Black Colleges and Universities(tie),,,,
Florida Memorial University,"$15,536 ","1,280",,
"Miami, FL",,,,
 #34 in Historically Black Colleges and Universities(tie),,,,
Fort Valley State University,"$19,740 (out-of-state), $6,664 (in-state)","2,252",,
"Fort Valley, GA",,,,
 #34 in Historically Black Colleges and Universities(tie),,,,
,,,,
Oakwood University 1,"$16,750 ",N/A,,
"Huntsville, AL",,,,
 #34 in Historically Black Colleges and Universities(tie),,,,
Tennessee State University,"$20,178 (out-of-state), $7,458 (in-state)","7,007",,
"Nashville, TN",,,,
 #34 in Historically Black Colleges and Universities(tie),,,,
Alabama State University,"$16,156 (out-of-state), $9,220 (in-state)","4,727",,
"Montgomery, AL",,,,
 #38 in Historically Black Colleges and Universities(tie),,,,
Kentucky State University,"$19,638 (out-of-state), $8,184 (in-state)","1,568",,
"Frankfort, KY",,,,
 #38 in Historically Black Colleges and Universities(tie),,,,
