Calvin College,"$33,100 ","3,807",,
"Grand Rapids, MI",,,,
 #1 in Regional Colleges Midwest,,,,
Taylor University,"$32,885 ","2,131",,
"Upland, IN",,,,
 #2 in Regional Colleges Midwest,,,,
Augustana University,"$31,960 ","1,665",,
"Sioux Falls, SD",,,,
 #3 in Regional Colleges Midwest,,,,
Ohio Northern University,"$30,990 ","2,274",,
"Ada, OH",,,,
 #4 in Regional Colleges Midwest,,,,
College of the Ozarks,"$19,130 ","1,512",,
"Point Lookout, MO",,,,
 #5 in Regional Colleges Midwest,,,,
,,,,
Goshen College,"$33,200 ",800,,
"Goshen, IN",,,,
 #6 in Regional Colleges Midwest,,,,
Cottey College,"$20,200 ",288,,
"Nevada, MO",,,,
 #7 in Regional Colleges Midwest,,,,
Dordt College,"$30,000 ","1,454",,
"Sioux Center, IA",,,,
 #8 in Regional Colleges Midwest (tie),,,,
Marietta College,"$36,040 ","1,144",,
"Marietta, OH",,,,
 #8 in Regional Colleges Midwest (tie),,,,
Northwestern College,"$30,200 ","1,099",,
"Orange City, IA",,,,
 #10 in Regional Colleges Midwest,,,,
,,,,
Millikin University,"$33,066 ","1,970",,
"Decatur, IL",,,,
 #11 in Regional Colleges Midwest (tie),,,,
University of Mount Union,"$29,890 ","2,140",,
"Alliance, OH",,,,
 #11 in Regional Colleges Midwest (tie),,,,
Benedictine College,"$28,480 ","2,249",,
"Atchison, KS",,,,
 #13 in Regional Colleges Midwest (tie),,,,
Cedarville University,"$29,156 ","3,380",,
"Cedarville, OH",,,,
 #13 in Regional Colleges Midwest (tie),,,,
Loras College,"$32,886 ","1,463",,
"Dubuque, IA",,,,
 #13 in Regional Colleges Midwest (tie),,,,
,,,,
Huntington University,"$25,540 ",996,,
"Huntington, IN",,,,
 #16 in Regional Colleges Midwest,,,,
Clarke University,"$31,950 ",801,,
"Dubuque, IA",,,,
 #17 in Regional Colleges Midwest (tie),,,,
Hastings College,"$29,200 ","1,181",,
"Hastings, NE",,,,
 #17 in Regional Colleges Midwest (tie),,,,
Wisconsin Lutheran College,"$29,140 ","1,000",,
"Milwaukee, WI",,,,
 #17 in Regional Colleges Midwest (tie),,,,
Adrian College,"$36,010 ","1,652",,
"Adrian, MI",,,,
 #20 in Regional Colleges Midwest (tie),,,,
,,,,
Trinity Christian College,"$28,450 ","1,193",,
"Palos Heights, IL",,,,
 #20 in Regional Colleges Midwest (tie),,,,
Saint Mary-of-the-Woods College,"$29,510 ",689,,
"St. Mary-of-the-Woods, IN",,,,
 #22 in Regional Colleges Midwest,,,,
Trine University,"$31,540 ","3,372",,
"Angola, IN",,,,
 #23 in Regional Colleges Midwest,,,,
Buena Vista University,"$32,854 ",795,,
"Storm Lake, IA",,,,
 #24 in Regional Colleges Midwest,,,,
Manchester University,"$31,660 ","1,272",,
"North Manchester, IN",,,,
 #25 in Regional Colleges Midwest,,,,
,,,,
Eureka College,"$25,390 ",672,,
"Eureka, IL",,,,
 #26 in Regional Colleges Midwest,,,,
Bluffton University,"$31,672 ",865,,
"Bluffton, OH",,,,
 #27 in Regional Colleges Midwest (tie),,,,
Central Methodist University,"$23,770 ","1,094",,
"Fayette, MO",,,,
 #27 in Regional Colleges Midwest (tie),,,,
University of Jamestown,"$21,158 ",955,,
"Jamestown, ND",,,,
 #27 in Regional Colleges Midwest (tie),,,,
Dakota Wesleyan University,"$27,030 ",879,,
"Mitchell, SD",,,,
 #30 in Regional Colleges Midwest,,,,
,,,,
Briar Cliff University,"$29,606 ","1,117",,
"Sioux City, IA",,,,
 #31 in Regional Colleges Midwest (tie),,,,
Union College,"$23,070 ",805,,
"Lincoln, NE",,,,
 #31 in Regional Colleges Midwest (tie),,,,
University of Minnesota--Crookston,"$12,202 (out-of-state), $12,202 (in-state)","2,676",,
"Crookston, MN",,,,
 #33 in Regional Colleges Midwest (tie),,,,
Valley City State University,"$16,368 (out-of-state), $7,328 (in-state)","1,295",,
"Valley City, ND",,,,
 #33 in Regional Colleges Midwest (tie),,,,
Defiance College,"$32,190 ",608,,
"Defiance, OH",,,,
 #35 in Regional Colleges Midwest,,,,
,,,,
University of Wisconsin--Superior,"$15,716 (out-of-state), $15,716 (in-state)","2,365",,
"Superior, WI",,,,
 #36 in Regional Colleges Midwest,,,,
