Creighton University,"$38,750 ","4,203",,
"Omaha, NE",,,,
 #1 in Regional Universities Midwest,,,,
Butler University,"$40,175 ","4,290",,
"Indianapolis, IN",,,,
 #2 in Regional Universities Midwest,,,,
Drake University,"$39,062 ","3,267",,
"Des Moines, IA",,,,
 #3 in Regional Universities Midwest,,,,
Valparaiso University,"$38,760 ","3,294",,
"Valparaiso, IN",,,,
 #4 in Regional Universities Midwest,,,,
Xavier University,"$37,230 ","4,563",,
"Cincinnati, OH",,,,
 #5 in Regional Universities Midwest,,,,
,,,,
John Carroll University,"$39,990 ","3,028",,
"University Heights, OH",,,,
 #6 in Regional Universities Midwest,,,,
Bradley University,"$32,930 ","4,473",,
"Peoria, IL",,,,
 #7 in Regional Universities Midwest,,,,
Truman State University,"$14,440 (out-of-state), $7,656 (in-state)","6,039",,
"Kirksville, MO",,,,
 #8 in Regional Universities Midwest,,,,
University of Evansville,"$35,396 ","2,348",,
"Evansville, IN",,,,
 #9 in Regional Universities Midwest,,,,
North Central College,"$37,749 ","2,716",,
"Naperville, IL",,,,
 #10 in Regional Universities Midwest,,,,
,,,,
Bethel University,"$36,200 ","2,965",,
"St. Paul, MN",,,,
 #11 in Regional Universities Midwest (tie),,,,
Elmhurst College,"$36,370 ","2,856",,
"Elmhurst, IL",,,,
 #11 in Regional Universities Midwest (tie),,,,
Milwaukee School of Engineering,"$39,429 ","2,675",,
"Milwaukee, WI",,,,
 #11 in Regional Universities Midwest (tie),,,,
Rockhurst University,"$36,590 ","2,042",,
"Kansas City, MO",,,,
 #11 in Regional Universities Midwest (tie),,,,
St. Catherine University,"$38,349 ","3,176",,
"St. Paul, MN",,,,
 #11 in Regional Universities Midwest (tie),,,,
,,,,
Hamline University,"$40,332 ","2,184",,
"St. Paul, MN",,,,
 #16 in Regional Universities Midwest (tie),,,,
Nebraska Wesleyan University,"$32,894 ","1,816",,
"Lincoln, NE",,,,
 #16 in Regional Universities Midwest (tie),,,,
Baldwin Wallace University,"$31,668 ","3,305",,
"Berea, OH",,,,
 #18 in Regional Universities Midwest,,,,
Dominican University,"$32,530 ","2,306",,
"River Forest, IL",,,,
 #19 in Regional Universities Midwest (tie),,,,
Franciscan University of Steubenville,"$26,430 ","2,090",,
"Steubenville, OH",,,,
 #19 in Regional Universities Midwest (tie),,,,
,,,,
Otterbein University,"$31,874 ","2,485",,
"Westerville, OH",,,,
 #19 in Regional Universities Midwest (tie),,,,
University of Detroit Mercy,"$41,158 ","2,646",,
"Detroit, MI",,,,
 #19 in Regional Universities Midwest (tie),,,,
Lewis University,"$31,250 ","4,553",,
"Romeoville, IL",,,,
 #23 in Regional Universities Midwest (tie),,,,
Webster University,"$27,100 ","2,621",,
"St. Louis, MO",,,,
 #23 in Regional Universities Midwest (tie),,,,
University of Northern Iowa,"$19,025 (out-of-state), $8,483 (in-state)","10,104",,
"Cedar Falls, IA",,,,
 #25 in Regional Universities Midwest,,,,
,,,,
Drury University,"$27,005 ","1,370",,
"Springfield, MO",,,,
 #26 in Regional Universities Midwest (tie),,,,
Kettering University,"$39,790 ","1,905",,
"Flint, MI",,,,
 #26 in Regional Universities Midwest (tie),,,,
St. Ambrose University,"$30,016 ","2,398",,
"Davenport, IA",,,,
 #26 in Regional Universities Midwest (tie),,,,
Augsburg College,"$36,415 ","2,550",,
"Minneapolis, MN",,,,
 #29 in Regional Universities Midwest (tie),,,,
Grand Valley State University,"$17,064 (out-of-state), $11,994 (in-state)","22,209",,
"Allendale, MI",,,,
 #29 in Regional Universities Midwest (tie),,,,
,,,,
Indiana Wesleyan University,"$25,980 ","2,782",,
"Marion, IN",,,,
 #29 in Regional Universities Midwest (tie),,,,
University of St. Francis,"$31,470 ","1,362",,
"Joliet, IL",,,,
 #32 in Regional Universities Midwest,,,,
University of Wisconsin--La Crosse,"$17,612 (out-of-state), $9,091 (in-state)","9,699",,
"La Crosse, WI",,,,
 #33 in Regional Universities Midwest,,,,
Capital University,"$34,600 ","2,718",,
"Columbus, OH",,,,
 #34 in Regional Universities Midwest (tie),,,,
College of St. Scholastica,"$36,212 ","2,841",,
"Duluth, MN",,,,
 #34 in Regional Universities Midwest (tie),,,,
,,,,
University of Indianapolis,"$28,390 ","4,346",,
"Indianapolis, IN",,,,
 #34 in Regional Universities Midwest (tie),,,,
University of Wisconsin--Eau Claire,"$16,736 (out-of-state), $8,816 (in-state)","9,981",,
"Eau Claire, WI",,,,
 #37 in Regional Universities Midwest,,,,
Anderson University,"$29,710 ","1,883",,
"Anderson, IN",,,,
 #38 in Regional Universities Midwest (tie),,,,
Bethel College,"$28,030 ","1,388",,
"Mishawaka, IN",,,,
 #38 in Regional Universities Midwest (tie),,,,
Carroll University,"$31,144 ","3,001",,
"Waukesha, WI",,,,
 #38 in Regional Universities Midwest (tie),,,,
,,,,
Concordia University,"$31,000 ","1,794",,
"Seward, NE",,,,
 #38 in Regional Universities Midwest (tie),,,,
Lawrence Technological University,"$32,130 ","2,164",,
"Southfield, MI",,,,
 #38 in Regional Universities Midwest (tie),,,,
University of Findlay,"$33,320 ","3,661",,
"Findlay, OH",,,,
 #38 in Regional Universities Midwest (tie),,,,
University of Michigan--Dearborn,"$24,706 (out-of-state), $12,472 (in-state)","7,141",,
"Dearborn, MI",,,,
 #38 in Regional Universities Midwest (tie),,,,
University of Minnesota--Duluth,"$18,462 (out-of-state), $13,139 (in-state)","9,967",,
"Duluth, MN",,,,
 #38 in Regional Universities Midwest (tie),,,,
,,,,
Baker University,"$28,880 ","1,144",,
"Baldwin City, KS",,,,
 #46 in Regional Universities Midwest,,,,
Aquinas College,"$31,244 ","1,654",,
"Grand Rapids, MI",,,,
 #47 in Regional Universities Midwest (tie),,,,
Marian University,"$33,000 ","2,147",,
"Indianapolis, IN",,,,
 #47 in Regional Universities Midwest (tie),,,,
St. Mary's University of Minnesota,"$33,560 ","1,590",,
"Winona, MN",,,,
 #47 in Regional Universities Midwest (tie),,,,
University of Northwestern--St. Paul,"$29,370 ","3,241",,
"St. Paul, MN",,,,
 #47 in Regional Universities Midwest (tie),,,,
,,,,
Concordia University Wisconsin,"$28,600 ","3,830",,
"Mequon, WI",,,,
 #51 in Regional Universities Midwest (tie),,,,
Eastern Illinois University,"$13,868 (out-of-state), $11,678 (in-state)","5,957",,
"Charleston, IL",,,,
 #51 in Regional Universities Midwest (tie),,,,
Robert Morris University,"$27,180 ","2,352",,
"Chicago, IL",,,,
 #51 in Regional Universities Midwest (tie),,,,
Alverno College,"$28,277 ","1,413",,
"Milwaukee, WI",,,,
 #54 in Regional Universities Midwest (tie),,,,
Morningside College,"$30,390 ","1,321",,
