Williams College,"$53,550 ","2,076",,
"Williamstown, MA",,,,
 #1 in National Liberal Arts Colleges,,,,
Amherst College,"$54,310 ","1,849",,
"Amherst, MA",,,,
 #2 in National Liberal Arts Colleges,,,,
Bowdoin College,"$51,848 ","1,806",,
"Brunswick, ME",,,,
 #3 in National Liberal Arts Colleges (tie),,,,
Swarthmore College,"$50,822 ","1,543",,
"Swarthmore, PA",,,,
 #3 in National Liberal Arts Colleges (tie),,,,
Wellesley College,"$51,148 ","2,347",,
"Wellesley, MA",,,,
 #3 in National Liberal Arts Colleges (tie),,,,
,,,,
Middlebury College,"$52,496 ","2,532",,
"Middlebury, VT",,,,
 #6 in National Liberal Arts Colleges (tie),,,,
Pomona College,"$51,075 ","1,660",,
"Claremont, CA",,,,
 #6 in National Liberal Arts Colleges (tie),,,,
Carleton College,"$52,782 ","2,105",,
"Northfield, MN",,,,
 #8 in National Liberal Arts Colleges (tie),,,,
Claremont McKenna College,"$52,825 ","1,347",,
"Claremont, CA",,,,
 #8 in National Liberal Arts Colleges (tie),,,,
Davidson College,"$49,949 ","1,796",,
"Davidson, NC",,,,
 #10 in National Liberal Arts Colleges (tie),,,,
,,,,
Washington and Lee University,"$50,170 ","1,830",,
"Lexington, VA",,,,
 #10 in National Liberal Arts Colleges (tie),,,,
Colby College,"$53,120 ","1,879",,
"Waterville, ME",,,,
 #12 in National Liberal Arts Colleges (tie),,,,
Colgate University,"$53,980 ","2,882",,
"Hamilton, NY",,,,
 #12 in National Liberal Arts Colleges (tie),,,,
Harvey Mudd College,"$54,886 ",829,,
"Claremont, CA",,,,
 #12 in National Liberal Arts Colleges (tie),,,,
Smith College,"$50,044 ","2,514",,
"Northampton, MA",,,,
 #12 in National Liberal Arts Colleges (tie),,,,
,,,,
United States Military Academy,"N/A (out-of-state), N/A (in-state)","4,389",,
"West Point, NY",,,,
 #12 in National Liberal Arts Colleges (tie),,,,
Vassar College,"$55,210 ","2,424",,
"Poughkeepsie, NY",,,,
 #12 in National Liberal Arts Colleges (tie),,,,
Grinnell College,"$50,464 ","1,699",,
"Grinnell, IA",,,,
 #18 in National Liberal Arts Colleges (tie),,,,
Hamilton College,"$52,770 ","1,879",,
"Clinton, NY",,,,
 #18 in National Liberal Arts Colleges (tie),,,,
Haverford College,"$52,754 ","1,268",,
"Haverford, PA",,,,
 #18 in National Liberal Arts Colleges (tie),,,,
,,,,
United States Naval Academy,"N/A (out-of-state), N/A (in-state)","4,526",,
"Annapolis, MD",,,,
 #21 in National Liberal Arts Colleges (tie),,,,
Wesleyan University,"$52,474 ","2,971",,
"Middletown, CT",,,,
 #21 in National Liberal Arts Colleges (tie),,,,
Bates College,"$52,042 ","1,780",,
"Lewiston, ME",,,,
 #23 in National Liberal Arts Colleges (tie),,,,
Colorado College,"$53,238 ","2,101",,
"Colorado Springs, CO",,,,
 #23 in National Liberal Arts Colleges (tie),,,,
University of Richmond,"$50,910 ","3,036",,
"Univ. of Richmond, VA",,,,
 #23 in National Liberal Arts Colleges (tie),,,,
,,,,
Barnard College,"$52,662 ","2,588",,
"New York, NY",,,,
 #26 in National Liberal Arts Colleges (tie),,,,
Kenyon College,"$53,560 ","1,708",,
"Gambier, OH",,,,
 #26 in National Liberal Arts Colleges (tie),,,,
Macalester College,"$52,464 ","2,146",,
"St. Paul, MN",,,,
 #26 in National Liberal Arts Colleges (tie),,,,
Oberlin College,"$53,460 ","2,895",,
"Oberlin, OH",,,,
 #26 in National Liberal Arts Colleges (tie),,,,
Scripps College,"$52,966 ","1,039",,
"Claremont, CA",,,,
 #26 in National Liberal Arts Colleges (tie),,,,
,,,,
United States Air Force Academy,"N/A (out-of-state), N/A (in-state)","4,237",,
"USAF Academy, CO",,,,
 #26 in National Liberal Arts Colleges (tie),,,,
Bryn Mawr College,"$50,500 ","1,381",,
"Bryn Mawr, PA",,,,
 #32 in National Liberal Arts Colleges,,,,
Bucknell University,"$53,986 ","3,571",,
"Lewisburg, PA",,,,
 #33 in National Liberal Arts Colleges (tie),,,,
College of the Holy Cross,"$50,630 ","2,941",,
"Worcester, MA",,,,
 #33 in National Liberal Arts Colleges (tie),,,,
Pitzer College,"$50,430 ","1,089",,
"Claremont, CA",,,,
 #33 in National Liberal Arts Colleges (tie),,,,
,,,,
Lafayette College,"$50,850 ","2,550",,
"Easton, PA",,,,
 #36 in National Liberal Arts Colleges (tie),,,,
Mount Holyoke College,"$47,940 ","2,199",,
"South Hadley, MA",,,,
 #36 in National Liberal Arts Colleges (tie),,,,
Union College,"$53,490 ","2,203",,
"Schenectady, NY",,,,
 #36 in National Liberal Arts Colleges (tie),,,,
Franklin and Marshall College,"$54,380 ","2,255",,
"Lancaster, PA",,,,
 #39 in National Liberal Arts Colleges (tie),,,,
Soka University of America,"$31,776 ",419,,
"Aliso Viejo, CA",,,,
 #39 in National Liberal Arts Colleges (tie),,,,
,,,,
Sewanee--University of the South,"$45,120 ","1,731",,
"Sewanee, TN",,,,
 #41 in National Liberal Arts Colleges (tie),,,,
Skidmore College,"$52,446 ","2,680",,
"Saratoga Springs, NY",,,,
 #41 in National Liberal Arts Colleges (tie),,,,
Whitman College,"$49,780 ","1,493",,
"Walla Walla, WA",,,,
 #41 in National Liberal Arts Colleges (tie),,,,
Occidental College,"$52,838 ","2,062",,
"Los Angeles, CA",,,,
 #44 in National Liberal Arts Colleges (tie),,,,
Trinity College,"$54,770 ","2,259",,
"Hartford, CT",,,,
 #44 in National Liberal Arts Colleges (tie),,,,
,,,,
Bard College,"$52,906 ","1,995",,
"Annandale on Hudson, NY",,,,
 #46 in National Liberal Arts Colleges (tie),,,,
Centre College,"$40,500 ","1,430",,
"Danville, KY",,,,
 #46 in National Liberal Arts Colleges (tie),,,,
Connecticut College,"$52,850 ","1,865",,
"New London, CT",,,,
