University of California--Berkeley,"$42,112 (out-of-state), $14,098 (in-state)","29,311",,
"Berkeley, CA",,,,
 #1 in Top Public Schools (tie),,,,
University of California--Los Angeles,"$41,270 (out-of-state), $13,256 (in-state)","30,873",,
"Los Angeles, CA",,,,
 #1 in Top Public Schools (tie),,,,
University of Virginia,"$46,975 (out-of-state), $16,146 (in-state)","16,331",,
"Charlottesville, VA",,,,
 #3 in Top Public Schools,,,,
University of Michigan--Ann Arbor,"$47,476 (out-of-state), $14,826 (in-state)","28,983",,
"Ann Arbor, MI",,,,
 #4 in Top Public Schools,,,,
University of North Carolina--Chapel Hill,"$34,588 (out-of-state), $9,005 (in-state)","18,523",,
"Chapel Hill, NC",,,,
 #5 in Top Public Schools,,,,
,,,,
College of William and Mary,"$43,099 (out-of-state), $20,287 (in-state)","6,276",,
"Williamsburg, VA",,,,
 #6 in Top Public Schools,,,,
Georgia Institute of Technology,"$33,014 (out-of-state), $12,418 (in-state)","15,489",,
"Atlanta, GA",,,,
 #7 in Top Public Schools,,,,
University of California--Santa Barbara,"$42,423 (out-of-state), $14,409 (in-state)","21,574",,
"Santa Barbara, CA",,,,
 #8 in Top Public Schools,,,,
University of California--Irvine,"$43,530 (out-of-state), $15,516 (in-state)","27,331",,
"Irvine, CA",,,,
 #9 in Top Public Schools (tie),,,,
University of California--San Diego,"$44,197 (out-of-state), $16,183 (in-state)","28,127",,
"La Jolla, CA",,,,
 #9 in Top Public Schools (tie),,,,
,,,,
University of Florida,"$28,658 (out-of-state), $6,381 (in-state)","34,554",,
"Gainesville, FL",,,,
 #9 in Top Public Schools (tie),,,,
University of California--Davis,"$42,396 (out-of-state), $14,382 (in-state)","29,546",,
"Davis, CA",,,,
 #12 in Top Public Schools (tie),,,,
University of Wisconsin--Madison,"$34,782 (out-of-state), $10,533 (in-state)","31,710",,
"Madison, WI",,,,
 #12 in Top Public Schools (tie),,,,
Pennsylvania State University--University Park,"$33,664 (out-of-state), $18,436 (in-state)","41,359",,
"University Park, PA",,,,
 #14 in Top Public Schools (tie),,,,
University of Illinois--Urbana-Champaign,"$31,988 (out-of-state), $15,868 (in-state)","33,932",,
"Champaign, IL",,,,
 #14 in Top Public Schools (tie),,,,
,,,,
Ohio State University--Columbus,"$29,659 (out-of-state), $10,591 (in-state)","45,831",,
"Columbus, OH",,,,
 #16 in Top Public Schools (tie),,,,
University of Georgia,"$30,392 (out-of-state), $11,818 (in-state)","27,951",,
"Athens, GA",,,,
 #16 in Top Public Schools (tie),,,,
Purdue University--West Lafayette,"$28,804 (out-of-state), $10,002 (in-state)","30,043",,
"West Lafayette, IN",,,,
 #18 in Top Public Schools (tie),,,,
University of Connecticut,"$36,948 (out-of-state), $14,880 (in-state)","19,324",,
"Storrs, CT",,,,
 #18 in Top Public Schools (tie),,,,
University of Texas--Austin,"$35,766 (out-of-state), $10,136 (in-state)","40,168",,
"Austin, TX",,,,
 #18 in Top Public Schools (tie),,,,
,,,,
University of Washington,"$35,538 (out-of-state), $10,974 (in-state)","30,933",,
"Seattle, WA",,,,
 #18 in Top Public Schools (tie),,,,
University of Maryland--College Park,"$33,606 (out-of-state), $10,399 (in-state)","28,472",,
"College Park, MD",,,,
 #22 in Top Public Schools,,,,
Clemson University,"$35,654 (out-of-state), $14,712 (in-state)","18,599",,
"Clemson, SC",,,,
 #23 in Top Public Schools,,,,
