Princeton University,"$47,140 ","5,400",,
"Princeton, NJ",,,,
 #1 in National Universities,,,,
Harvard University,"$48,949 ","6,710",,
"Cambridge, MA",,,,
 #2 in National Universities,,,,
University of Chicago,"$54,825 ","5,941",,
"Chicago, IL",,,,
 #3 in National Universities (tie),,,,
Yale University,"$51,400 ","5,472",,
"New Haven, CT",,,,
 #3 in National Universities (tie),,,,
Columbia University,"$57,208 ","6,113",,
"New York, NY",,,,
 #5 in National Universities (tie),,,,
,,,,
Massachusetts Institute of Technology,"$49,892 ","4,524",,
"Cambridge, MA",,,,
 #5 in National Universities (tie),,,,
Stanford University,"$49,617 ","7,034",,
"Stanford, CA",,,,
 #5 in National Universities (tie),,,,
University of Pennsylvania,"$53,534 ","10,019",,
"Philadelphia, PA",,,,
 #8 in National Universities,,,,
Duke University,"$53,744 ","6,609",,
"Durham, NC",,,,
 #9 in National Universities,,,,
California Institute of Technology,"$49,908 ",979,,
"Pasadena, CA",,,,
 #10 in National Universities,,,,
,,,,
Dartmouth College,"$52,950 ","4,310",,
"Hanover, NH",,,,
 #11 in National Universities (tie),,,,
Johns Hopkins University,"$52,170 ","6,117",,
"Baltimore, MD",,,,
 #11 in National Universities (tie),,,,
Northwestern University,"$52,678 ","8,353",,
"Evanston, IL",,,,
 #11 in National Universities (tie),,,,
Brown University,"$53,419 ","6,926",,
"Providence, RI",,,,
 #14 in National Universities (tie),,,,
Cornell University,"$52,853 ","14,566",,
"Ithaca, NY",,,,
 #14 in National Universities (tie),,,,
,,,,
Rice University,"$45,608 ","3,893",,
"Houston, TX",,,,
 #14 in National Universities (tie),,,,
Vanderbilt University,"$47,664 ","6,871",,
"Nashville, TN",,,,
 #14 in National Universities (tie),,,,
University of Notre Dame,"$51,505 ","8,530",,
"Notre Dame, IN",,,,
 #18 in National Universities (tie),,,,
Washington University in St. Louis,"$51,533 ","7,540",,
"St. Louis, MO",,,,
 #18 in National Universities (tie),,,,
Georgetown University,"$52,300 ","7,453",,
"Washington, DC",,,,
 #20 in National Universities,,,,
,,,,
Emory University,"$49,392 ","6,861",,
"Atlanta, GA",,,,
 #21 in National Universities (tie),,,,
University of California--Berkeley,"$42,112 (out-of-state), $14,098 (in-state)","29,311",,
"Berkeley, CA",,,,
 #21 in National Universities (tie),,,,
University of California--Los Angeles,"$41,270 (out-of-state), $13,256 (in-state)","30,873",,
"Los Angeles, CA",,,,
 #21 in National Universities (tie),,,,
University of Southern California,"$54,259 ","18,794",,
"Los Angeles, CA",,,,
 #21 in National Universities (tie),,,,
Carnegie Mellon University,"$53,910 ","6,673",,
"Pittsburgh, PA",,,,
 #25 in National Universities (tie),,,,
,,,,
University of Virginia,"$46,975 (out-of-state), $16,146 (in-state)","16,331",,
"Charlottesville, VA",,,,
 #25 in National Universities (tie),,,,
Wake Forest University,"$51,400 ","4,955",,
"Winston-Salem, NC",,,,
 #27 in National Universities,,,,
University of Michigan--Ann Arbor,"$47,476 (out-of-state), $14,826 (in-state)","28,983",,
"Ann Arbor, MI",,,,
 #28 in National Universities,,,,
Tufts University,"$54,318 ","5,508",,
"Medford, MA",,,,
 #29 in National Universities,,,,
New York University,"$50,464 ","26,135",,
"New York, NY",,,,
 #30 in National Universities (tie),,,,
,,,,
University of North Carolina--Chapel Hill,"$34,588 (out-of-state), $9,005 (in-state)","18,523",,
"Chapel Hill, NC",,,,
 #30 in National Universities (tie),,,,
Boston College,"$53,346 ","9,309",,
"Chestnut Hill, MA",,,,
 #32 in National Universities (tie),,,,
College of William and Mary,"$43,099 (out-of-state), $20,287 (in-state)","6,276",,
"Williamsburg, VA",,,,
 #32 in National Universities (tie),,,,
Brandeis University,"$53,582 ","3,608",,
"Waltham, MA",,,,
 #34 in National Universities (tie),,,,
Georgia Institute of Technology,"$33,014 (out-of-state), $12,418 (in-state)","15,489",,
"Atlanta, GA",,,,
 #34 in National Universities (tie),,,,
,,,,
University of Rochester,"$52,020 ","6,386",,
"Rochester, NY",,,,
 #34 in National Universities (tie),,,,
Boston University,"$52,082 ","17,944",,
"Boston, MA",,,,
 #37 in National Universities (tie),,,,
Case Western Reserve University,"$47,500 ","5,152",,
"Cleveland, OH",,,,
 #37 in National Universities (tie),,,,
University of California--Santa Barbara,"$42,423 (out-of-state), $14,409 (in-state)","21,574",,
"Santa Barbara, CA",,,,
 #37 in National Universities (tie),,,,
Northeastern University,"$49,497 ","13,473",,
"Boston, MA",,,,
 #40 in National Universities (tie),,,,
,,,,
Tulane University,"$52,960 ","6,377",,
"New Orleans, LA",,,,
 #40 in National Universities (tie),,,,
Rensselaer Polytechnic Institute,"$52,305 ","6,265",,
"Troy, NY",,,,
 #42 in National Universities (tie),,,,
University of California--Irvine,"$43,530 (out-of-state), $15,516 (in-state)","27,331",,
"Irvine, CA",,,,
 #42 in National Universities (tie),,,,
University of California--San Diego,"$44,197 (out-of-state), $16,183 (in-state)","28,127",,
"La Jolla, CA",,,,
 #42 in National Universities (tie),,,,
University of Florida,"$28,658 (out-of-state), $6,381 (in-state)","34,554",,
"Gainesville, FL",,,,
 #42 in National Universities (tie),,,,
,,,,
Lehigh University,"$50,740 ","5,080",,
"Bethlehem, PA",,,,
 #46 in National Universities (tie),,,,
Pepperdine University,"$51,992 ","3,542",,
"Malibu, CA",,,,
 #46 in National Universities (tie),,,,
University of California--Davis,"$42,396 (out-of-state), $14,382 (in-state)","29,546",,
"Davis, CA",,,,
 #46 in National Universities (tie),,,,
University of Miami,"$48,484 ","10,849",,
"Coral Gables, FL",,,,
 #46 in National Universities (tie),,,,
University of Wisconsin--Madison,"$34,782 (out-of-state), $10,533 (in-state)","31,710",,
"Madison, WI",,,,
