Providence College,"$48,760 ","4,270",,
"Providence, RI",,,,
 #1 in Regional Universities North,,,,
Bentley University,"$48,000 ","4,222",,
"Waltham, MA",,,,
 #2 in Regional Universities North,,,,
Fairfield University,"$47,165 ","4,032",,
"Fairfield, CT",,,,
 #3 in Regional Universities North,,,,
College of New Jersey,"$27,578 (out-of-state), $16,149 (in-state)","6,787",,
"Ewing, NJ",,,,
 #4 in Regional Universities North (tie),,,,
Loyola University Maryland,"$47,725 ","4,104",,
"Baltimore, MD",,,,
 #4 in Regional Universities North (tie),,,,
,,,,
University of Scranton,"$43,310 ","3,867",,
"Scranton, PA",,,,
 #6 in Regional Universities North,,,,
Emerson College,"$42,908 ","3,790",,
"Boston, MA",,,,
 #7 in Regional Universities North,,,,
Ithaca College,"$42,884 ","6,221",,
"Ithaca, NY",,,,
 #8 in Regional Universities North,,,,
Marist College,"$36,780 ","5,616",,
"Poughkeepsie, NY",,,,
 #9 in Regional Universities North,,,,
Bryant University,"$42,109 ","3,462",,
"Smithfield, RI",,,,
 #10 in Regional Universities North,,,,
,,,,
St. Joseph's University,"$43,880 ","5,377",,
"Philadelphia, PA",,,,
 #11 in Regional Universities North (tie),,,,
SUNY--Geneseo,"$18,058 (out-of-state), $8,408 (in-state)","5,431",,
"Geneseo, NY",,,,
 #11 in Regional Universities North (tie),,,,
Quinnipiac University,"$46,780 ","7,099",,
"Hamden, CT",,,,
 #13 in Regional Universities North,,,,
Simmons College,"$38,590 ","1,801",,
"Boston, MA",,,,
 #14 in Regional Universities North,,,,
Manhattan College,"$40,345 ","3,637",,
"Riverdale, NY",,,,
 #15 in Regional Universities North (tie),,,,
,,,,
SUNY Polytechnic Institute,"$17,760 (out-of-state), $7,910 (in-state)","2,012",,
"Utica, NY",,,,
 #15 in Regional Universities North (tie),,,,
Le Moyne College,"$33,905 ","2,897",,
"Syracuse, NY",,,,
 #17 in Regional Universities North,,,,
Massachusetts Maritime Academy,"$25,807 (out-of-state), $8,381 (in-state)","1,677",,
"Buzzards Bay, MA",,,,
 #18 in Regional Universities North (tie),,,,
St. Francis University,"$33,344 ","2,120",,
"Loretto, PA",,,,
 #18 in Regional Universities North (tie),,,,
CUNY--Baruch College,"$18,021 (out-of-state), $7,551 (in-state)","15,210",,
"New York, NY",,,,
 #20 in Regional Universities North,,,,
,,,,
St. Bonaventure University,"$33,301 ","1,660",,
"St. Bonaventure, NY",,,,
 #21 in Regional Universities North,,,,
Canisius College,"$36,454 ","2,595",,
"Buffalo, NY",,,,
 #22 in Regional Universities North (tie),,,,
Gallaudet University,"$16,558 ","1,121",,
"Washington, DC",,,,
 #22 in Regional Universities North (tie),,,,
Lebanon Valley College,"$42,180 ","1,712",,
"Annville, PA",,,,
 #24 in Regional Universities North,,,,
Mount St. Mary's University,"$40,550 ","1,729",,
"Emmitsburg, MD",,,,
 #25 in Regional Universities North (tie),,,,
,,,,
Rutgers University--Camden,"$29,381 (out-of-state), $14,238 (in-state)","5,021",,
"Camden, NJ",,,,
 #25 in Regional Universities North (tie),,,,
Springfield College,"$36,535 ","2,110",,
"Springfield, MA",,,,
 #25 in Regional Universities North (tie),,,,
Assumption College,"$36,260 ","1,989",,
"Worcester, MA",,,,
 #28 in Regional Universities North (tie),,,,
CUNY--Hunter College,"$17,250 (out-of-state), $6,780 (in-state)","16,723",,
"New York, NY",,,,
 #28 in Regional Universities North (tie),,,,
Hood College,"$37,960 ","1,174",,
"Frederick, MD",,,,
