,index,name,flagship
0,0,princeton university,
1,3,harvard university,
2,6,university of chicago,
3,9,yale university,
4,12,columbia university,
5,15,massachusetts institute of technology,
6,18,stanford university,
7,21,university of pennsylvania,
8,24,duke university,
9,27,california institute of technology,
10,30,dartmouth college,
11,33,johns hopkins university,
12,36,northwestern university,
13,39,brown university,
14,42,cornell university,
15,45,rice university,
16,48,vanderbilt university,
17,51,university of notre dame,
18,54,washington university in st. louis,
19,57,georgetown university,
20,60,emory university,
21,63,university of california berkeley,
22,66,university of california los angeles,
23,69,university of southern california,
24,72,carnegie mellon university,
25,75,university of virginia,
26,78,wake forest university,
27,81,university of michigan ann arbor,university of michigan
28,84,tufts university,
29,87,new york university,
30,90,university of north carolina chapel hill,university of north carolina
31,93,boston college,
32,96,college of william and mary,
33,99,brandeis university,
34,102,georgia institute of technology,
35,105,university of rochester,
36,108,boston university,
37,111,case western reserve university,
38,114,university of california santa barbara,
39,117,northeastern university,
40,120,tulane university,
41,123,rensselaer polytechnic institute,
42,126,university of california irvine,
43,129,university of california san diego,
44,132,university of florida,
45,135,lehigh university,
46,138,pepperdine university,
47,141,university of california davis,
48,144,university of miami,
49,147,university of wisconsin madison,university of wisconsin
50,150,villanova university,
51,153,pennsylvania state university university park,pennsylvania state university 
52,156,university of illinois urbana champaign,university of illinois
53,159,ohio state university columbus,ohio state university
54,162,university of georgia,
55,165,george washington university,
56,168,purdue university west lafayette,purdue university
57,171,university of connecticut,
58,174,university of texas austin,university of texas
59,177,university of washington,
60,180,brigham young university provo,brigham young university
61,183,fordham university,
62,186,southern methodist university,
63,189,syracuse university,
64,192,university of maryland college park,university of maryland
65,195,worcester polytechnic institute,
66,198,clemson university,
67,201,university of pittsburgh,
68,204,american university,
69,207,rutgers university new brunswick,rutgers university
70,210,stevens institute of technology,
71,213,texas a&m university college station,texas a&m university
72,216,university of minnesota twin cities,university of minnesota
73,219,virginia tech,
74,222,baylor university,
75,225,colorado school of mines,
76,228,university of massachusetts amherst,university of massachusetts
77,231,miami university oxford,
78,234,texas christian university,
79,237,university of iowa,
80,240,clark university,
81,243,florida state university,
82,246,michigan state university,
83,249,north carolina state university raleigh,north carolina state university
84,252,university of california santa cruz,
85,255,university of delaware,
86,258,binghamton university suny,suny binghamton
87,261,university of denver,
88,264,university of tulsa,
89,267,indiana university bloomington,indiana university
90,270,marquette university,
91,273,university of colorado boulder,university of colorado
92,276,university of san diego,
93,279,drexel university,
94,282,saint louis university,
95,285,yeshiva university,
96,288,rochester institute of technology,
97,291,stony brook university suny,stony brook university
98,294,suny college of environmental science and forestry,
99,297,university at buffalo suny,university at buffalo
100,300,university of oklahoma,
101,303,university of vermont,
102,306,auburn university,
103,309,illinois institute of technology,
104,312,loyola university chicago,
105,315,university of new hampshire,
106,318,university of oregon,
107,321,university of south carolina,
108,324,university of tennessee,
109,327,howard university,
110,330,university of alabama,
111,333,university of san francisco,
112,336,university of the pacific,
113,339,university of utah,
114,342,arizona state university tempe,arizona state university
115,345,iowa state university,
116,348,temple university,
117,351,university of kansas,
118,354,university of st. thomas,
119,357,the catholic university of america,
120,360,depaul university,
121,363,duquesne university,
122,366,university of missouri,
123,369,clarkson university,
124,372,colorado state university,
125,375,michigan technological university,
126,378,seton hall university,
127,381,university of arizona,
128,384,university of california riverside,
129,387,university of dayton,
130,390,university of nebraska lincoln,university of nebraska
131,393,hofstra university,
132,396,louisiana state university baton rouge,louisiana state university
133,399,mercer university,
134,402,the new school,
135,405,rutgers university newark,
136,408,university of arkansas,
137,411,university of cincinnati,
138,414,university of kentucky,
139,417,george mason university,
140,420,new jersey institute of technology,
141,423,san diego state university,
142,426,university of south florida,
143,429,washington state university,
144,432,kansas state university,
145,435,oregon state university,
146,438,st. john fisher college,
147,441,university of illinois chicago,
148,444,university of mississippi,
149,447,university of texas dallas,
150,450,adelphi university,
151,453,florida institute of technology,
152,456,ohio university,
153,459,seattle pacific university,
154,462,university at albany suny,university at albany 
155,465,oklahoma state university,
156,468,university of massachusetts lowell,
157,471,university of rhode island,
158,474,biola university,
159,477,illinois state university,
160,480,university of alabama birmingham,university of alabama
161,483,university of hawaii manoa,university of hawaii 
162,486,university of la verne,
163,489,university of maryland baltimore county,
164,492,immaculata university,
165,495,maryville university of st. louis,
166,498,missouri university of science & technology,
167,501,st. john's university,
168,504,university of california merced,
169,507,university of louisville,
170,510,mississippi state university,
171,513,rowan university,
172,516,university of central florida,
173,519,university of idaho,
174,522,virginia commonwealth university,
175,525,kent state university,
176,528,robert morris university,
177,531,texas tech university,
178,534,union university,
179,537,university of hartford,
180,540,edgewood college,
181,543,lesley university,
182,546,lipscomb university,
183,549,suffolk university,
184,552,university of maine,
185,555,university of wyoming,
186,558,azusa pacific university,
187,561,ball state university,
188,564,montclair state university,
189,567,pace university,
190,570,west virginia university,
191,573,andrews university,
192,576,indiana university purdue university indianapolis,
193,579,university of houston,
194,582,university of new mexico,
195,585,university of north dakota,
196,588,widener university,
197,591,new mexico state university,
198,594,north dakota state university,
199,597,nova southeastern university,
200,600,university of north carolina charlotte,
201,603,bowling green state university,
202,606,california state university fullerton,california state university
203,609,dallas baptist university,
204,612,university of massachusetts boston,
205,615,university of nevada reno,university of nevada 
206,618,central michigan university,
207,621,east carolina university,
208,624,florida a&m university,
209,627,montana state university,
210,630,university of alaska fairbanks,
211,633,university of colorado denver,
212,636,university of massachusetts dartmouth,
213,639,university of montana,
214,642,western michigan university,
215,645,florida international university,
216,648,louisiana tech university,
217,651,south dakota state university,
218,654,southern illinois university carbondale,
219,657,university of alabama huntsville,
220,660,university of missouri kansas city,
221,663,utah state university,
222,666,ashland university,
223,669,benedictine university,
224,672,california state university fresno,
225,675,gardner webb university,
226,678,georgia state university,
227,681,shenandoah university,
228,684,university of south dakota,
229,687,wayne state university,
230,690,american international college,
231,693,augusta university,
232,696,barry university,
233,699,boise state university,
234,702,cardinal stritch university,
235,705,clark atlanta university,
236,708,cleveland state university,
237,711,eastern michigan university,
238,714,east tennessee state university,
239,717,florida atlantic university,
240,720,georgia southern university,
241,723,grand canyon university,
242,726,indiana state university,
243,729,indiana university of pennsylvania,
244,732,jackson state university,
245,735,kennesaw state university,
246,738,lamar university,
247,741,liberty university,
248,744,lindenwood university,
249,747,middle tennessee state university,
250,750,morgan state university,
251,753,national louis university,
252,756,north carolina a&t state university,
253,759,northern arizona university,
254,762,northern illinois university,
255,765,oakland university,
256,768,old dominion university,
257,771,portland state university,
258,774,prairie view a&m university,
259,777,regent university,
260,780,sam houston state university,
261,783,san francisco state university,
262,786,spalding university,
263,789,tennessee state university,
264,792,tennessee technological university,
265,795,texas a&m university commerce,
266,798,texas a&m university corpus christi,
267,801,texas a&m university kingsville,
268,804,texas southern university,
269,807,texas state university,
270,810,texas woman's university,
