Elon University,"$34,273 ","6,008",,
"Elon, NC",,,,
 #1 in Regional Universities South,,,,
Rollins College,"$48,335 ","1,942",,
"Winter Park, FL",,,,
 #2 in Regional Universities South,,,,
Samford University,"$30,490 ","3,341",,
"Birmingham, AL",,,,
 #3 in Regional Universities South,,,,
The Citadel,"$33,819 (out-of-state), $12,056 (in-state)","2,773",,
"Charleston, SC",,,,
 #4 in Regional Universities South,,,,
Belmont University,"$32,820 ","6,293",,
"Nashville, TN",,,,
 #5 in Regional Universities South,,,,
,,,,
Stetson University,"$44,480 ","3,089",,
"DeLand, FL",,,,
 #6 in Regional Universities South,,,,
James Madison University,"$27,194 (out-of-state), $10,830 (in-state)","19,548",,
"Harrisonburg, VA",,,,
 #7 in Regional Universities South,,,,
Berry College,"$35,176 ","2,073",,
"Mount Berry, GA",,,,
 #8 in Regional Universities South,,,,
Appalachian State University,"$21,652 (out-of-state), $7,136 (in-state)","16,595",,
"Boone, NC",,,,
 #9 in Regional Universities South,,,,
Loyola University New Orleans,"$39,242 ","2,483",,
"New Orleans, LA",,,,
 #10 in Regional Universities South,,,,
,,,,
Christopher Newport University,"$25,450 (out-of-state), $13,654 (in-state)","4,930",,
"Newport News, VA",,,,
 #11 in Regional Universities South,,,,
College of Charleston,"$30,706 (out-of-state), $12,318 (in-state)","10,375",,
"Charleston, SC",,,,
 #12 in Regional Universities South (tie),,,,
Embry-Riddle Aeronautical University,"$34,822 ","5,447",,
"Daytona Beach, FL",,,,
 #12 in Regional Universities South (tie),,,,
University of North Carolina--Wilmington,"$21,064 (out-of-state), $7,048 (in-state)","13,914",,
"Wilmington, NC",,,,
 #14 in Regional Universities South,,,,
Asbury University,"$28,630 ","1,624",,
"Wilmore, KY",,,,
 #15 in Regional Universities South (tie),,,,
,,,,
Bellarmine University,"$40,350 ","2,650",,
"Louisville, KY",,,,
 #15 in Regional Universities South (tie),,,,
John Brown University,"$26,144 ","2,017",,
"Siloam Springs, AR",,,,
 #17 in Regional Universities South (tie),,,,
University of Mary Washington,"$27,374 (out-of-state), $12,128 (in-state)","4,357",,
"Fredericksburg, VA",,,,
 #17 in Regional Universities South (tie),,,,
Florida Southern College,"$34,774 ","2,386",,
"Lakeland, FL",,,,
 #19 in Regional Universities South,,,,
Queens University of Charlotte,"$33,532 ","1,617",,
"Charlotte, NC",,,,
 #20 in Regional Universities South,,,,
,,,,
Hampton University,"$25,442 ","3,836",,
"Hampton, VA",,,,
 #21 in Regional Universities South (tie),,,,
University of Tampa,"$28,426 ","7,382",,
"Tampa, FL",,,,
 #21 in Regional Universities South (tie),,,,
Harding University,"$19,190 ","4,419",,
"Searcy, AR",,,,
 #23 in Regional Universities South (tie),,,,
Milligan College,"$32,500 ",880,,
"Milligan College, TN",,,,
 #23 in Regional Universities South (tie),,,,
Winthrop University,"$29,136 (out-of-state), $15,220 (in-state)","5,091",,
"Rock Hill, SC",,,,
 #25 in Regional Universities South (tie),,,,
,,,,
Xavier University of Louisiana,"$23,606 ","2,327",,
"New Orleans, LA",,,,
 #25 in Regional Universities South (tie),,,,
Campbell University,"$31,190 ","4,560",,
"Buies Creek, NC",,,,
 #27 in Regional Universities South (tie),,,,
Converse College,"$18,030 ",870,,
"Spartanburg, SC",,,,
 #27 in Regional Universities South (tie),,,,
