,index,name,tuition,enrollment,group,location,rank,public,union
89,267,Indiana University Bloomington,"$34,845 (out-of-state), $10,533 (in-state)","39,184",national,"Bloomington, IN",#90 in National Universities(tie),TRUE,big10
64,192,University of Maryland College Park,"$33,606 (out-of-state), $10,399 (in-state)","28,472",national,"College Park, MD",#61 in National Universities(tie),TRUE,big10
27,81,University of Michigan Ann Arbor,"$47,476 (out-of-state), $14,826 (in-state)","28,983",national,"Ann Arbor, MI",#28 in National Universities,TRUE,big10
82,246,Michigan State University,"$39,405 (out-of-state), $14,460 (in-state)","39,090",national,"East Lansing, MI",#81 in National Universities(tie),TRUE,big10
53,159,Ohio State University Columbus,"$29,659 (out-of-state), $10,591 (in-state)","45,831",national,"Columbus, OH",#54 in National Universities(tie),TRUE,big10
51,153,Pennsylvania State University University Park,"$33,664 (out-of-state), $18,436 (in-state)","41,359",national,"University Park, PA",#52 in National Universities(tie),TRUE,big10
69,207,Rutgers University New Brunswick,"$30,023 (out-of-state), $14,372 (in-state)","36,168",national,"Piscataway, NJ",#69 in National Universities(tie),TRUE,big10
52,156,University of Illinois Urbana Champaign,"$31,988 (out-of-state), $15,868 (in-state)","33,932",national,"Champaign, IL",#52 in National Universities(tie),TRUE,big10
79,237,University of Iowa,"$28,813 (out-of-state), $8,575 (in-state)","24,476",national,"Iowa City, IA",#78 in National Universities(tie),TRUE,big10
72,216,University of Minnesota Twin Cities,"$26,603 (out-of-state), $14,417 (in-state)","34,871",national,"Minneapolis, MN",#69 in National Universities(tie),TRUE,big10
56,168,Purdue University West Lafayette,"$28,804 (out-of-state), $10,002 (in-state)","30,043",national,"West Lafayette, IN",#56 in National Universities(tie),TRUE,big10
12,36,Northwestern University,"$52,678 ","8,353",national,"Evanston, IL",#11 in National Universities(tie),FALSE,big10
49,147,University of Wisconsin Madison,"$34,782 (out-of-state), $10,533 (in-state)","31,710",national,"Madison, WI",#46 in National Universities(tie),TRUE,big10
130,390,University of Nebraska Lincoln,"$23,256 (out-of-state), $8,690 (in-state)","20,833",national,"Lincoln, NE",#124 in National Universities(tie),TRUE,big10
44,132,University of Florida,"$28,658 (out-of-state), $6,381 (in-state)","34,554",national,"Gainesville, FL",#42 in National Universities(tie),TRUE,sec
54,162,University of Georgia,"$30,392 (out-of-state), $11,818 (in-state)","27,951",national,"Athens, GA",#54 in National Universities(tie),TRUE,sec
