Trinity University,"$41,344 ","2,334",,
"San Antonio, TX",,,,
 #1 in Regional Universities West,,,,
Santa Clara University,"$49,858 ","5,438",,
"Santa Clara, CA",,,,
 #2 in Regional Universities West,,,,
Loyola Marymount University,"$46,136 ","6,261",,
"Los Angeles, CA",,,,
 #3 in Regional Universities West,,,,
Gonzaga University,"$41,330 ","5,160",,
"Spokane, WA",,,,
 #4 in Regional Universities West,,,,
Chapman University,"$50,594 ","6,410",,
"Orange, CA",,,,
 #5 in Regional Universities West,,,,
,,,,
University of Portland,"$44,026 ","3,798",,
"Portland, OR",,,,
 #6 in Regional Universities West,,,,
Seattle University,"$42,885 ","4,780",,
"Seattle, WA",,,,
 #7 in Regional Universities West,,,,
Whitworth University,"$42,186 ","2,308",,
"Spokane, WA",,,,
 #8 in Regional Universities West,,,,
Mills College,"$45,907 ",808,,
"Oakland, CA",,,,
 #9 in Regional Universities West (tie),,,,
St. Mary's College of California,"$45,686 ","2,802",,
"Moraga, CA",,,,
 #9 in Regional Universities West (tie),,,,
,,,,
California Polytechnic State University--San Luis Obispo,"$21,312 (out-of-state), $9,432 (in-state)","20,426",,
"San Luis Obispo, CA",,,,
 #11 in Regional Universities West,,,,
University of Redlands,"$48,072 ","3,237",,
"Redlands, CA",,,,
 #12 in Regional Universities West,,,,
University of Dallas,"$38,716 ","1,407",,
"Irving, TX",,,,
 #13 in Regional Universities West,,,,
California Lutheran University,"$41,363 ","2,892",,
"Thousand Oaks, CA",,,,
 #14 in Regional Universities West,,,,
St. Edward's University,"$43,050 ","4,056",,
"Austin, TX",,,,
 #15 in Regional Universities West,,,,
,,,,
Pacific Lutheran University,"$40,722 ","2,782",,
"Tacoma, WA",,,,
 #16 in Regional Universities West,,,,
Point Loma Nazarene University,"$34,600 ","3,053",,
"San Diego, CA",,,,
 #17 in Regional Universities West,,,,
Abilene Christian University,"$33,330 ","3,758",,
"Abilene, TX",,,,
 #18 in Regional Universities West,,,,
Western Washington University,"$21,597 (out-of-state), $7,653 (in-state)","14,592",,
"Bellingham, WA",,,,
 #19 in Regional Universities West (tie),,,,
Westminster College,"$33,040 ","2,127",,
"Salt Lake City, UT",,,,
 #19 in Regional Universities West (tie),,,,
,,,,
St. Mary's University of San Antonio,"$29,300 ","2,298",,
"San Antonio, TX",,,,
 #21 in Regional Universities West,,,,
Pacific University,"$43,594 ","1,930",,
"Forest Grove, OR",,,,
 #22 in Regional Universities West,,,,
George Fox University,"$35,016 ","2,707",,
"Newberg, OR",,,,
 #23 in Regional Universities West (tie),,,,
LeTourneau University,"$29,320 ","2,253",,
"Longview, TX",,,,
 #23 in Regional Universities West (tie),,,,
New Mexico Institute of Mining and Technology,"$20,991 (out-of-state), $7,183 (in-state)","1,569",,
"Socorro, NM",,,,
 #23 in Regional Universities West (tie),,,,
,,,,
University of St. Thomas,"$32,660 ","1,814",,
"Houston, TX",,,,
 #26 in Regional Universities West,,,,
Oklahoma City University,"$30,726 ","1,764",,
"Oklahoma City, OK",,,,
 #27 in Regional Universities West (tie),,,,
Regis University,"$34,450 ","4,070",,
"Denver, CO",,,,
 #27 in Regional Universities West (tie),,,,
Mount Saint Mary's University,"$37,722 ","2,831",,
"Los Angeles, CA",,,,
 #29 in Regional Universities West,,,,
Dominican University of California,"$44,690 ","1,391",,
"San Rafael, CA",,,,
 #30 in Regional Universities West,,,,
,,,,
California Baptist University,"$32,256 ","6,937",,
"Riverside, CA",,,,
