,Complete,Decision,Received,Sent
$%7B1%7D,1.0,0.857142857143,0.0,1.0
%20asstown,0.0,0.0,0.0,0.0
%20Bumblebena,0.0,0.0,0.0,0.0
%20nextphase,0.0,0.0,0.0,0.0
%23Creightonbound,0.0,0.857142857143,0.142857142857,1.0
%5EAjaxX,0.0,0.0,0.0,0.0
&hearts,0.0,0.0,0.0,0.0
0007,0.0,0.0,0.0,0.0
0025,0.0,0.0,0.0,0.6
0073735963,0.0,0.0,0.0,0.0
00baller,0.0,0.0,0.0,0.0
00cree00,0.933333333333,1.0,0.933333333333,1.0
01010010,0.0,1.0,0.0,1.0
0111ocampom,0.0,0.0,0.0,0.0
0134580,0.888888888889,0.666666666667,1.0,1.0
01gsl,1.0,1.0,0.0,1.0
02139,0.0,0.0714285714286,0.0,0.0
021,0.888888888889,0.777777777778,0.0,1.0
027958,0.0,0.0,0.0,0.0
02aes,0.0,0.0,0.0,0.0
02rtr,0.0,0.0,0.0,0.0
0331gunsup,0.0,0.0,0.0,0.0
03arg,0.0,0.0,0.0,0.0
03pmc,0.0,0.0,0.0,0.0
03robin,0.0,0.0,0.0,0.0
04055,0.0,0.0,0.0,0.0
040711,0.0,0.0,0.0,1.0
0428143,0.0,0.0,0.0,0.0
04nse,0.0,0.0,0.0,0.0
05fd96228,0.0,0.0,0.0,0.0
05grad,0.9,0.9,0.2,0.0
05L1Hispanic,0.0,0.0,0.0,0.0
05lawyer,0.769230769231,0.769230769231,0.923076923077,0.923076923077
05rishik,0.0,0.0,0.0,0.0
06aslan,0.0,0.0,0.0,0.0
06explorer,0.0,0.0,0.0,0.0
06lion,0.0,0.0,0.0,0.0
06mink,0.615384615385,0.384615384615,0.384615384615,1.0
06return,0.0,0.75,1.0,1.0
07ayl,0.0,0.0,0.0,0.0
07ggfa5,0.5,0.875,0.75,1.0
07hopeful,0.5,0.642857142857,0.714285714286,0.928571428571
07jayz,0.0,0.0,0.0,0.0
